Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	extirpation_rate	log10_rate_bg	rate_bg
0	-23.5361	-21.76352	-1.772576	0.6536864	0.6536864	0.6536864	-2	0.01
1	-23.74326	-21.75179	-1.99146	0.9604019	0.9604019	0.9604019	-2	0.01
2	-25.30721	-21.32961	-3.977602	1.966395	1.966395	1.966395	-1.911213	0.01226837
3	-22.04703	-18.38584	-3.661193	1.818564	1.818564	1.818564	-1.238314	0.05776783
4	-19.71728	-16.42637	-3.290911	1.645004	1.645004	1.645004	-0.7072854	0.1962071
5	-18.85147	-16.22855	-2.622919	1.321775	1.321775	1.321775	-0.5687723	0.2699154
6	-18.83581	-16.30127	-2.53454	1.276688	1.276688	1.276688	-0.5929992	0.2552706
7	-18.22613	-16.32083	-1.905302	0.8935453	0.8935453	0.8935453	-0.386713	0.4104753
8	-18.46431	-16.64645	-1.817859	0.5864896	0.5864896	0.5864896	-0.4843645	0.32782
9	-18.60802	-16.79016	-1.817859	0.5864896	0.5864896	0.5864896	-0.2559012	0.5547519
10	-18.64272	-16.82486	-1.817859	0.5864896	0.5864896	0.5864896	-0.2394399	0.5761826
11	-18.65385	-16.83599	-1.817859	0.5864896	0.5864896	0.5864896	-0.2345066	0.582765
12	-19.94298	-17.34926	-2.593719	0.3614194	0.3614194	0.3614194	-0.2023025	0.627621
13	-19.58368	-16.96075	-2.622926	0.357372	0.357372	0.357372	-0.3770093	0.41975
14	-18.69832	-16.77161	-1.92671	0.5183532	0.5183532	0.5183532	-0.5576851	0.2768949
15	-19.62645	-17.1351	-2.491353	0.376596	0.376596	0.376596	-0.7209015	0.190151
16	-19.1892	-17.3724	-1.816802	0.8040657	0.8040657	0.8040657	-0.9029524	0.1250396
17	-18.32433	-16.55313	-1.771195	0.6585693	0.6585693	0.6585693	-0.4324898	0.3694113
18	-19.2036	-17.43241	-1.771195	0.6585693	0.6585693	0.6585693	-0.9021808	0.125262
19	-18.9039	-16.78802	-2.115874	0.45279	0.45279	0.45279	-0.4740212	0.3357212
20	-19.36696	-17.55779	-1.809173	0.7939459	0.7939459	0.7939459	-0.9584319	0.1100444
21	-18.38058	-16.60842	-1.772158	0.6550822	0.6550822	0.6550822	-0.5199834	0.3020067
22	-18.83773	-16.68139	-2.156344	1.068125	1.068125	1.068125	-0.7082999	0.1957492
23	-18.2868	-16.25415	-2.03265	0.9891331	0.9891331	0.9891331	-0.4261288	0.3748618
24	-18.55621	-16.7875	-1.768709	0.6709478	0.6709478	0.6709478	-0.2021402	0.6278556
25	-18.47449	-16.68419	-1.790297	0.7646363	0.7646363	0.7646363	-0.1914447	0.64351
26	-18.21897	-16.392	-1.826969	0.8165743	0.8165743	0.8165743	-0.381616	0.4153212
27	-19.13385	-16.95547	-2.17838	1.081368	1.081368	1.081368	-0.807206	0.1558813
28	-18.64951	-16.83436	-1.815151	0.8019348	0.8019348	0.8019348	-0.7117618	0.1941951
29	-18.79607	-16.3646	-2.431469	1.222819	1.222819	1.222819	-0.6094527	0.2457804
30	-18.51009	-16.06876	-2.441325	1.228041	1.228041	1.228041	-0.4029027	0.3954552
31	-18.39859	-16.11969	-2.2789	1.13956	1.13956	1.13956	-0.3730064	0.4236368
32	-18.95007	-16.0139	-2.936169	1.476096	1.476096	1.476096	-0.490865	0.3229498
33	-18.70651	-16.68646	-2.020059	0.9805146	0.9805146	0.9805146	-0.6921867	0.2031483
34	-18.53481	-16.05602	-2.47879	1.247746	1.247746	1.247746	-0.4033945	0.3950077
35	-18.5877	-16.69825	-1.889455	0.8797519	0.8797519	0.8797519	-0.1339578	0.7345853
36	-18.6401	-16.76345	-1.876651	0.8681065	0.8681065	0.8681065	-0.1186424	0.7609525
37	-19.80397	-15.87162	-3.932345	1.945236	1.945236	1.945236	-0.1243184	0.751072
38	-21.37393	-15.54397	-5.829959	2.858232	2.858232	2.858232	-0.1106839	0.7750258
39	-19.43035	-15.74155	-3.688803	1.831463	1.831463	1.831463	-0.2417821	0.5730835
40	-19.5203	-15.70291	-3.817394	1.891527	1.891527	1.891527	-0.2533026	0.5580813
41	-18.42258	-16.15227	-2.27031	1.13471	1.13471	1.13471	-0.4335043	0.3685494
42	-18.78766	-16.97706	-1.810595	0.7958886	0.7958886	0.7958886	-0.7669112	0.1710365
43	-19.63452	-17.78337	-1.851147	0.5602087	0.5602087	0.5602087	-0.9997603	0.1000552
44	-18.9345	-16.85616	-2.078347	1.019392	1.019392	1.019392	-0.7638335	0.1722529
45	-19.86611	-18.07502	-1.791092	0.76605	0.76605	0.76605	-1.102612	0.07895656
46	-18.27524	-16.38602	-1.889222	0.8795441	0.8795441	0.8795441	-0.4851506	0.3272272
