Iteration	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	simmap
0	{2,1}	{1,0.956522}	{1,0.913043}	{1,0.869565}	{2,0.130435}	{1,0.0869565}	{1,0.0434783}	{2,0.0434783}	{1,0.652174}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.130435}	{1,0.0869565}	{1,0.0434783}	{1,0.0434783}	{2,0.130435}	{2,0.0869565}	{2,0.0434783}	{2,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.0434783}	{1,0.521739}	{2,0.0434783}	{2,0.0434783}	{2,0.347826}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.173913}	{1,0.0869565}	{1,0.26087}	{1,0.173913}	{3,0.0171802:1,0.113255}	{1,0.0434783}	{1,0.173913}	{3,0.0434783}	{3,0.0434783}	{3,0.451618:1,0.244034}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{3,0}	((((((((U_acuminata:{1,0.0869565},(U_kirkiana:{1,0.0434783},U_sansibarica:{1,0.0434783}):{1,0.0434783}):{1,0.521739},((((U_bojeri_1:{2,0.0434783},U_bojeri_2:{2,0.0434783}):{2,0.0434783},U_louvelii:{2,0.0869565}):{2,0.0434783},U_littoralis:{2,0.130435}):{2,0.347826},(((((U_lissopyrena:{1,0.0434783},U_togoensis:{1,0.0434783}):{1,0.0434783},U_staudtii:{1,0.0869565}):{1,0.0434783},U_pilosa:{1,0.130435}):{1,0.0869565},(U_mole:{1,0.0434783},U_vanhouttei:{1,0.0434783}):{1,0.173913}):{1,0.0869565},(U_pynaertii:{1,0.0434783},U_rufopilosa:{1,0.0434783}):{1,0.26087}):{1,0.173913}):{3,0.0171802:1,0.113255}):{1,0.0434783},U_teusczii_f_teusczii:{1,0.652174}):{1,0.173913},(((U_ambanjensis:{2,0.0434783},U_teusczii_f_pilosa:{1,0.0434783}):{3,0.0434783},U_guineensis:{1,0.0869565}):{3,0.0434783},U_densifolia:{2,0.130435}):{3,0.451618:1,0.244034}):{1,0.0434783},U_heudelotii:{1,0.869565}):{1,0.0434783},U_nitida:{1,0.913043}):{1,0.0434783},Spondianthus_preussii:{1,0.956522}):{1,0.0434783},U_amplifolia:{2,1});
10	{2,0.138006:3,0.646754:1,0.21524}	{1,0.956522}	{1,0.913043}	{1,0.869565}	{2,0.130435}	{1,0.0869565}	{1,0.0434783}	{2,0.0434783}	{1,0.652174}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.130435}	{1,0.0869565}	{1,0.0434783}	{1,0.0434783}	{2,0.130435}	{2,0.0869565}	{2,0.0434783}	{2,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.0434783}	{1,0.521739}	{2,0.0434783}	{2,0.0434783}	{2,0.347826}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.173913}	{1,0.0288517:3,0.0581048}	{1,0.26087}	{3,0.173913}	{3,0.101638:1,0.0287969}	{1,0.0434783}	{1,0.173913}	{3,0.0434783}	{3,0.0434783}	{3,0.290543:1,0.405109}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0}	((((((((U_acuminata:{1,0.0869565},(U_kirkiana:{1,0.0434783},U_sansibarica:{1,0.0434783}):{1,0.0434783}):{1,0.521739},((((U_bojeri_1:{2,0.0434783},U_bojeri_2:{2,0.0434783}):{2,0.0434783},U_louvelii:{2,0.0869565}):{2,0.0434783},U_littoralis:{2,0.130435}):{2,0.347826},(((((U_lissopyrena:{1,0.0434783},U_togoensis:{1,0.0434783}):{1,0.0434783},U_staudtii:{1,0.0869565}):{1,0.0434783},U_pilosa:{1,0.130435}):{1,0.0869565},(U_mole:{1,0.0434783},U_vanhouttei:{1,0.0434783}):{1,0.173913}):{1,0.0288517:3,0.0581048},(U_pynaertii:{1,0.0434783},U_rufopilosa:{1,0.0434783}):{1,0.26087}):{3,0.173913}):{3,0.101638:1,0.0287969}):{1,0.0434783},U_teusczii_f_teusczii:{1,0.652174}):{1,0.173913},(((U_ambanjensis:{2,0.0434783},U_teusczii_f_pilosa:{1,0.0434783}):{3,0.0434783},U_guineensis:{1,0.0869565}):{3,0.0434783},U_densifolia:{2,0.130435}):{3,0.290543:1,0.405109}):{1,0.0434783},U_heudelotii:{1,0.869565}):{1,0.0434783},U_nitida:{1,0.913043}):{1,0.0434783},Spondianthus_preussii:{1,0.956522}):{1,0.0434783},U_amplifolia:{2,0.138006:3,0.646754:1,0.21524});
20	{2,0.290579:3,0.709421}	{1,0.956522}	{1,0.913043}	{1,0.869565}	{2,0.130435}	{1,0.0869565}	{1,0.0434783}	{2,0.0434783}	{1,0.652174}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.130435}	{1,0.0869565}	{1,0.0434783}	{1,0.0434783}	{2,0.130435}	{2,0.0869565}	{2,0.0434783}	{2,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.0434783}	{1,0.521739}	{2,0.0434783}	{2,0.0434783}	{2,0.347826}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.173913}	{1,0.0869565}	{1,0.26087}	{1,0.173913}	{3,0.0945061:1,0.0359287}	{1,0.0434783}	{1,0.173913}	{3,0.0434783}	{3,0.0434783}	{3,0.565755:1,0.129897}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{3,0}	((((((((U_acuminata:{1,0.0869565},(U_kirkiana:{1,0.0434783},U_sansibarica:{1,0.0434783}):{1,0.0434783}):{1,0.521739},((((U_bojeri_1:{2,0.0434783},U_bojeri_2:{2,0.0434783}):{2,0.0434783},U_louvelii:{2,0.0869565}):{2,0.0434783},U_littoralis:{2,0.130435}):{2,0.347826},(((((U_lissopyrena:{1,0.0434783},U_togoensis:{1,0.0434783}):{1,0.0434783},U_staudtii:{1,0.0869565}):{1,0.0434783},U_pilosa:{1,0.130435}):{1,0.0869565},(U_mole:{1,0.0434783},U_vanhouttei:{1,0.0434783}):{1,0.173913}):{1,0.0869565},(U_pynaertii:{1,0.0434783},U_rufopilosa:{1,0.0434783}):{1,0.26087}):{1,0.173913}):{3,0.0945061:1,0.0359287}):{1,0.0434783},U_teusczii_f_teusczii:{1,0.652174}):{1,0.173913},(((U_ambanjensis:{2,0.0434783},U_teusczii_f_pilosa:{1,0.0434783}):{3,0.0434783},U_guineensis:{1,0.0869565}):{3,0.0434783},U_densifolia:{2,0.130435}):{3,0.565755:1,0.129897}):{1,0.0434783},U_heudelotii:{1,0.869565}):{1,0.0434783},U_nitida:{1,0.913043}):{1,0.0434783},Spondianthus_preussii:{1,0.956522}):{1,0.0434783},U_amplifolia:{2,0.290579:3,0.709421});
30	{2,0.00879893:3,0.233409:1,0.757792}	{1,0.956522}	{1,0.913043}	{1,0.869565}	{2,0.130435}	{1,0.0869565}	{1,0.0434783}	{2,0.0434783}	{1,0.652174}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.130435}	{1,0.0869565}	{1,0.0434783}	{1,0.0434783}	{2,0.130435}	{2,0.0869565}	{2,0.0434783}	{2,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.0434783}	{1,0.521739}	{2,0.0434783}	{2,0.0434783}	{2,0.125701:3,0.0561935:1,0.165931}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.173913}	{1,0.0869565}	{1,0.26087}	{1,0.173913}	{1,0.130435}	{1,0.0434783}	{1,0.173913}	{3,0.0434783}	{3,0.0434783}	{3,0.563631:1,0.132021}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0}	((((((((U_acuminata:{1,0.0869565},(U_kirkiana:{1,0.0434783},U_sansibarica:{1,0.0434783}):{1,0.0434783}):{1,0.521739},((((U_bojeri_1:{2,0.0434783},U_bojeri_2:{2,0.0434783}):{2,0.0434783},U_louvelii:{2,0.0869565}):{2,0.0434783},U_littoralis:{2,0.130435}):{2,0.125701:3,0.0561935:1,0.165931},(((((U_lissopyrena:{1,0.0434783},U_togoensis:{1,0.0434783}):{1,0.0434783},U_staudtii:{1,0.0869565}):{1,0.0434783},U_pilosa:{1,0.130435}):{1,0.0869565},(U_mole:{1,0.0434783},U_vanhouttei:{1,0.0434783}):{1,0.173913}):{1,0.0869565},(U_pynaertii:{1,0.0434783},U_rufopilosa:{1,0.0434783}):{1,0.26087}):{1,0.173913}):{1,0.130435}):{1,0.0434783},U_teusczii_f_teusczii:{1,0.652174}):{1,0.173913},(((U_ambanjensis:{2,0.0434783},U_teusczii_f_pilosa:{1,0.0434783}):{3,0.0434783},U_guineensis:{1,0.0869565}):{3,0.0434783},U_densifolia:{2,0.130435}):{3,0.563631:1,0.132021}):{1,0.0434783},U_heudelotii:{1,0.869565}):{1,0.0434783},U_nitida:{1,0.913043}):{1,0.0434783},Spondianthus_preussii:{1,0.956522}):{1,0.0434783},U_amplifolia:{2,0.00879893:3,0.233409:1,0.757792});
40	{2,0.0141744:3,0.985826}	{1,0.956522}	{1,0.913043}	{1,0.518035:3,0.126246:1,0.225284}	{2,0.130435}	{1,0.0869565}	{1,0.0434783}	{2,0.0434783}	{1,0.652174}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.130435}	{1,0.0869565}	{1,0.0434783}	{1,0.0434783}	{2,0.130435}	{2,0.0869565}	{2,0.0434783}	{2,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.0434783}	{1,0.521739}	{2,0.0434783}	{2,0.0434783}	{2,0.229755:3,0.0315701:1,0.0865014}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.173913}	{1,0.0869565}	{1,0.26087}	{1,0.173913}	{1,0.130435}	{1,0.0434783}	{1,0.173913}	{3,0.0434783}	{3,0.0434783}	{3,0.202131:1,0.493521}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{3,0}	((((((((U_acuminata:{1,0.0869565},(U_kirkiana:{1,0.0434783},U_sansibarica:{1,0.0434783}):{1,0.0434783}):{1,0.521739},((((U_bojeri_1:{2,0.0434783},U_bojeri_2:{2,0.0434783}):{2,0.0434783},U_louvelii:{2,0.0869565}):{2,0.0434783},U_littoralis:{2,0.130435}):{2,0.229755:3,0.0315701:1,0.0865014},(((((U_lissopyrena:{1,0.0434783},U_togoensis:{1,0.0434783}):{1,0.0434783},U_staudtii:{1,0.0869565}):{1,0.0434783},U_pilosa:{1,0.130435}):{1,0.0869565},(U_mole:{1,0.0434783},U_vanhouttei:{1,0.0434783}):{1,0.173913}):{1,0.0869565},(U_pynaertii:{1,0.0434783},U_rufopilosa:{1,0.0434783}):{1,0.26087}):{1,0.173913}):{1,0.130435}):{1,0.0434783},U_teusczii_f_teusczii:{1,0.652174}):{1,0.173913},(((U_ambanjensis:{2,0.0434783},U_teusczii_f_pilosa:{1,0.0434783}):{3,0.0434783},U_guineensis:{1,0.0869565}):{3,0.0434783},U_densifolia:{2,0.130435}):{3,0.202131:1,0.493521}):{1,0.0434783},U_heudelotii:{1,0.518035:3,0.126246:1,0.225284}):{1,0.0434783},U_nitida:{1,0.913043}):{1,0.0434783},Spondianthus_preussii:{1,0.956522}):{1,0.0434783},U_amplifolia:{2,0.0141744:3,0.985826});
50	{2,0.168967:3,0.831033}	{1,0.956522}	{1,0.913043}	{1,0.869565}	{2,0.130435}	{1,0.0869565}	{1,0.0434783}	{2,0.0434783}	{1,0.652174}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.130435}	{1,0.0869565}	{1,0.0434783}	{1,0.0434783}	{2,0.0685295:3,0.0619053}	{2,0.0869565}	{2,0.0434783}	{2,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.0434783}	{1,0.521739}	{2,0.0434783}	{2,0.0434783}	{3,0.24399:1,0.103836}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.173913}	{1,0.0869565}	{1,0.26087}	{1,0.173913}	{1,0.130435}	{1,0.0434783}	{1,0.173913}	{3,0.0434783}	{3,0.0434783}	{3,0.293279:1,0.402373}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{3,0}	((((((((U_acuminata:{1,0.0869565},(U_kirkiana:{1,0.0434783},U_sansibarica:{1,0.0434783}):{1,0.0434783}):{1,0.521739},((((U_bojeri_1:{2,0.0434783},U_bojeri_2:{2,0.0434783}):{2,0.0434783},U_louvelii:{2,0.0869565}):{2,0.0434783},U_littoralis:{2,0.0685295:3,0.0619053}):{3,0.24399:1,0.103836},(((((U_lissopyrena:{1,0.0434783},U_togoensis:{1,0.0434783}):{1,0.0434783},U_staudtii:{1,0.0869565}):{1,0.0434783},U_pilosa:{1,0.130435}):{1,0.0869565},(U_mole:{1,0.0434783},U_vanhouttei:{1,0.0434783}):{1,0.173913}):{1,0.0869565},(U_pynaertii:{1,0.0434783},U_rufopilosa:{1,0.0434783}):{1,0.26087}):{1,0.173913}):{1,0.130435}):{1,0.0434783},U_teusczii_f_teusczii:{1,0.652174}):{1,0.173913},(((U_ambanjensis:{2,0.0434783},U_teusczii_f_pilosa:{1,0.0434783}):{3,0.0434783},U_guineensis:{1,0.0869565}):{3,0.0434783},U_densifolia:{2,0.130435}):{3,0.293279:1,0.402373}):{1,0.0434783},U_heudelotii:{1,0.869565}):{1,0.0434783},U_nitida:{1,0.913043}):{1,0.0434783},Spondianthus_preussii:{1,0.956522}):{1,0.0434783},U_amplifolia:{2,0.168967:3,0.831033});
60	{2,1}	{1,0.956522}	{1,0.913043}	{1,0.869565}	{2,0.130435}	{1,0.0869565}	{1,0.0434783}	{2,0.0434783}	{1,0.652174}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.130435}	{1,0.0869565}	{1,0.0434783}	{1,0.0434783}	{2,0.130435}	{2,0.0869565}	{2,0.0434783}	{2,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.0434783}	{1,0.521739}	{2,0.0434783}	{2,0.0434783}	{2,0.347826}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.173913}	{1,0.0869565}	{1,0.26087}	{1,0.173913}	{3,0.0404085:1,0.0900263}	{1,0.0434783}	{1,0.173913}	{3,0.0434783}	{3,0.0434783}	{3,0.083745:1,0.611907}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{3,0}	((((((((U_acuminata:{1,0.0869565},(U_kirkiana:{1,0.0434783},U_sansibarica:{1,0.0434783}):{1,0.0434783}):{1,0.521739},((((U_bojeri_1:{2,0.0434783},U_bojeri_2:{2,0.0434783}):{2,0.0434783},U_louvelii:{2,0.0869565}):{2,0.0434783},U_littoralis:{2,0.130435}):{2,0.347826},(((((U_lissopyrena:{1,0.0434783},U_togoensis:{1,0.0434783}):{1,0.0434783},U_staudtii:{1,0.0869565}):{1,0.0434783},U_pilosa:{1,0.130435}):{1,0.0869565},(U_mole:{1,0.0434783},U_vanhouttei:{1,0.0434783}):{1,0.173913}):{1,0.0869565},(U_pynaertii:{1,0.0434783},U_rufopilosa:{1,0.0434783}):{1,0.26087}):{1,0.173913}):{3,0.0404085:1,0.0900263}):{1,0.0434783},U_teusczii_f_teusczii:{1,0.652174}):{1,0.173913},(((U_ambanjensis:{2,0.0434783},U_teusczii_f_pilosa:{1,0.0434783}):{3,0.0434783},U_guineensis:{1,0.0869565}):{3,0.0434783},U_densifolia:{2,0.130435}):{3,0.083745:1,0.611907}):{1,0.0434783},U_heudelotii:{1,0.869565}):{1,0.0434783},U_nitida:{1,0.913043}):{1,0.0434783},Spondianthus_preussii:{1,0.956522}):{1,0.0434783},U_amplifolia:{2,1});
70	{2,1}	{1,0.956522}	{1,0.065529:3,0.618941:1,0.228574}	{1,0.334594:3,0.302505:1,0.232466}	{2,0.130435}	{1,0.0869565}	{1,0.0434783}	{2,0.0434783}	{1,0.652174}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.130435}	{1,0.0869565}	{1,0.0434783}	{1,0.0434783}	{2,0.130435}	{2,0.0869565}	{2,0.0434783}	{2,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.0434783}	{1,0.521739}	{2,0.0434783}	{2,0.0434783}	{2,0.347826}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.173913}	{1,0.0869565}	{1,0.26087}	{1,0.173913}	{3,0.130435}	{3,0.0434783}	{3,0.0557707:1,0.118142}	{3,0.0434783}	{3,0.0434783}	{3,0.101139:1,0.594513}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{3,0}	((((((((U_acuminata:{1,0.0869565},(U_kirkiana:{1,0.0434783},U_sansibarica:{1,0.0434783}):{1,0.0434783}):{1,0.521739},((((U_bojeri_1:{2,0.0434783},U_bojeri_2:{2,0.0434783}):{2,0.0434783},U_louvelii:{2,0.0869565}):{2,0.0434783},U_littoralis:{2,0.130435}):{2,0.347826},(((((U_lissopyrena:{1,0.0434783},U_togoensis:{1,0.0434783}):{1,0.0434783},U_staudtii:{1,0.0869565}):{1,0.0434783},U_pilosa:{1,0.130435}):{1,0.0869565},(U_mole:{1,0.0434783},U_vanhouttei:{1,0.0434783}):{1,0.173913}):{1,0.0869565},(U_pynaertii:{1,0.0434783},U_rufopilosa:{1,0.0434783}):{1,0.26087}):{1,0.173913}):{3,0.130435}):{3,0.0434783},U_teusczii_f_teusczii:{1,0.652174}):{3,0.0557707:1,0.118142},(((U_ambanjensis:{2,0.0434783},U_teusczii_f_pilosa:{1,0.0434783}):{3,0.0434783},U_guineensis:{1,0.0869565}):{3,0.0434783},U_densifolia:{2,0.130435}):{3,0.101139:1,0.594513}):{1,0.0434783},U_heudelotii:{1,0.334594:3,0.302505:1,0.232466}):{1,0.0434783},U_nitida:{1,0.065529:3,0.618941:1,0.228574}):{1,0.0434783},Spondianthus_preussii:{1,0.956522}):{1,0.0434783},U_amplifolia:{2,1});
80	{2,1}	{1,0.956522}	{1,0.913043}	{1,0.869565}	{2,0.130435}	{1,0.0869565}	{1,0.0434783}	{2,0.0434783}	{1,0.652174}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.130435}	{1,0.0869565}	{1,0.0434783}	{1,0.0434783}	{2,0.130435}	{2,0.0869565}	{2,0.0434783}	{2,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.0434783}	{1,0.521739}	{2,0.0434783}	{2,0.0434783}	{2,0.347826}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.173913}	{1,0.0869565}	{1,0.26087}	{1,0.173913}	{3,0.0273138:1,0.103121}	{1,0.0434783}	{1,0.173913}	{3,0.0434783}	{3,0.0434783}	{3,0.313551:1,0.382101}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{3,0}	((((((((U_acuminata:{1,0.0869565},(U_kirkiana:{1,0.0434783},U_sansibarica:{1,0.0434783}):{1,0.0434783}):{1,0.521739},((((U_bojeri_1:{2,0.0434783},U_bojeri_2:{2,0.0434783}):{2,0.0434783},U_louvelii:{2,0.0869565}):{2,0.0434783},U_littoralis:{2,0.130435}):{2,0.347826},(((((U_lissopyrena:{1,0.0434783},U_togoensis:{1,0.0434783}):{1,0.0434783},U_staudtii:{1,0.0869565}):{1,0.0434783},U_pilosa:{1,0.130435}):{1,0.0869565},(U_mole:{1,0.0434783},U_vanhouttei:{1,0.0434783}):{1,0.173913}):{1,0.0869565},(U_pynaertii:{1,0.0434783},U_rufopilosa:{1,0.0434783}):{1,0.26087}):{1,0.173913}):{3,0.0273138:1,0.103121}):{1,0.0434783},U_teusczii_f_teusczii:{1,0.652174}):{1,0.173913},(((U_ambanjensis:{2,0.0434783},U_teusczii_f_pilosa:{1,0.0434783}):{3,0.0434783},U_guineensis:{1,0.0869565}):{3,0.0434783},U_densifolia:{2,0.130435}):{3,0.313551:1,0.382101}):{1,0.0434783},U_heudelotii:{1,0.869565}):{1,0.0434783},U_nitida:{1,0.913043}):{1,0.0434783},Spondianthus_preussii:{1,0.956522}):{1,0.0434783},U_amplifolia:{2,1});
90	{2,0.256889:3,0.0478314:2,0.0546375:3,0.640642}	{1,0.956522}	{1,0.913043}	{1,0.171395:3,0.246382:1,0.451788}	{2,0.130435}	{1,0.0869565}	{1,0.0434783}	{2,0.0434783}	{1,0.652174}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.130435}	{1,0.0869565}	{1,0.0434783}	{1,0.0434783}	{2,0.0807266:3,0.0497082}	{2,0.0869565}	{2,0.0434783}	{2,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.0434783}	{1,0.521739}	{2,0.0434783}	{2,0.0434783}	{3,0.00584785:1,0.341978}	{1,0.0434783}	{1,0.0434783}	{1,0.0869565}	{1,0.173913}	{1,0.0869565}	{1,0.26087}	{1,0.173913}	{1,0.130435}	{1,0.0434783}	{1,0.173913}	{3,0.0434783}	{3,0.0434783}	{3,0.290337:1,0.405316}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{1,0.0434783}	{3,0}	((((((((U_acuminata:{1,0.0869565},(U_kirkiana:{1,0.0434783},U_sansibarica:{1,0.0434783}):{1,0.0434783}):{1,0.521739},((((U_bojeri_1:{2,0.0434783},U_bojeri_2:{2,0.0434783}):{2,0.0434783},U_louvelii:{2,0.0869565}):{2,0.0434783},U_littoralis:{2,0.0807266:3,0.0497082}):{3,0.00584785:1,0.341978},(((((U_lissopyrena:{1,0.0434783},U_togoensis:{1,0.0434783}):{1,0.0434783},U_staudtii:{1,0.0869565}):{1,0.0434783},U_pilosa:{1,0.130435}):{1,0.0869565},(U_mole:{1,0.0434783},U_vanhouttei:{1,0.0434783}):{1,0.173913}):{1,0.0869565},(U_pynaertii:{1,0.0434783},U_rufopilosa:{1,0.0434783}):{1,0.26087}):{1,0.173913}):{1,0.130435}):{1,0.0434783},U_teusczii_f_teusczii:{1,0.652174}):{1,0.173913},(((U_ambanjensis:{2,0.0434783},U_teusczii_f_pilosa:{1,0.0434783}):{3,0.0434783},U_guineensis:{1,0.0869565}):{3,0.0434783},U_densifolia:{2,0.130435}):{3,0.290337:1,0.405316}):{1,0.0434783},U_heudelotii:{1,0.171395:3,0.246382:1,0.451788}):{1,0.0434783},U_nitida:{1,0.913043}):{1,0.0434783},Spondianthus_preussii:{1,0.956522}):{1,0.0434783},U_amplifolia:{2,0.256889:3,0.0478314:2,0.0546375:3,0.640642});
