Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	extirpation_rate	log10_rate_bg	rate_bg
0	-23.08521	-21.1491	-1.936115	0.5141123	0.5141123	0.5141123	-2	0.01
1	-23.02246	-21.08635	-1.936115	0.5141123	0.5141123	0.5141123	-3.018581	0.0009581188
2	-23.05698	-21.19367	-1.863308	0.5522182	0.5522182	0.5522182	-1.782979	0.01648243
3	-22.94714	-21.08383	-1.863308	0.5522182	0.5522182	0.5522182	-3.223276	0.000598031
4	-23.05544	-21.17566	-1.879779	0.8709975	0.8709975	0.8709975	-1.849823	0.01413114
5	-23.50141	-21.53532	-1.96609	0.9418309	0.9418309	0.9418309	-1.161976	0.06886897
6	-23.16271	-21.32887	-1.833841	0.8245299	0.8245299	0.8245299	-1.433192	0.03688145
7	-23.8199	-21.08228	-2.737621	1.379119	1.379119	1.379119	-3.407253	0.0003915135
8	-23.97266	-21.23504	-2.737621	1.379119	1.379119	1.379119	-1.625395	0.02369218
9	-25.11982	-21.10058	-4.019238	1.985871	1.985871	1.985871	-2.486521	0.003261964
10	-25.10422	-21.08498	-4.019238	1.985871	1.985871	1.985871	-3.083071	0.0008259021
11	-23.76325	-21.08323	-2.680022	1.350469	1.350469	1.350469	-3.272944	0.0005334037
12	-23.21665	-21.38585	-1.830805	0.8210593	0.8210593	0.8210593	-1.342538	0.04544245
13	-23.38151	-21.6119	-1.769614	0.7097196	0.7097196	0.7097196	-1.101149	0.07922289
14	-23.60199	-21.77689	-1.825106	0.580051	0.580051	0.580051	-0.9858323	0.103316
15	-22.93116	-21.15757	-1.773589	0.6505434	0.6505434	0.6505434	-1.946453	0.0113122
16	-23.54205	-21.17071	-2.371336	0.3967506	0.3967506	0.3967506	-1.88489	0.01303498
17	-23.16306	-21.2599	-1.903152	0.5297312	0.5297312	0.5297312	-1.583643	0.02608296
18	-22.9534	-21.18547	-1.767934	0.6778393	0.6778393	0.6778393	-1.812315	0.01540582
19	-23.8821	-21.29109	-2.591004	0.3618016	0.3618016	0.3618016	-1.518617	0.03029584
20	-23.78238	-21.19137	-2.591004	0.3618016	0.3618016	0.3618016	-1.796737	0.01596847
21	-23.682	-21.091	-2.591004	0.3618016	0.3618016	0.3618016	-2.792159	0.001613767
22	-23.68534	-21.09433	-2.591004	0.3618016	0.3618016	0.3618016	-2.679823	0.002090148
23	-26.17553	-21.15225	-5.023282	0.1918813	0.1918813	0.1918813	-1.988536	0.01026749
24	-24.48971	-21.16625	-3.323465	0.2845009	0.2845009	0.2845009	-1.909582	0.01231454
25	-24.52239	-21.19893	-3.323465	0.2845009	0.2845009	0.2845009	-1.770214	0.01697406
26	-23.8242	-21.08329	-2.740908	0.3421098	0.3421098	0.3421098	-3.288629	0.0005144832
27	-22.97778	-21.0813	-1.896481	0.5331779	0.5331779	0.5331779	-3.633226	0.0002326879
28	-23.2225	-21.08194	-2.140555	0.4462577	0.4462577	0.4462577	-3.48981	0.0003237355
29	-22.99645	-21.08064	-1.915815	0.5234718	0.5234718	0.5234718	-3.863017	0.0001370827
30	-24.22729	-21.08098	-3.146314	0.2996051	0.2996051	0.2996051	-3.734823	0.0001841521
