Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	extirpation_rate	log10_rate_bg	rate_bg
0	-44.71454	-42.88711	-1.827431	0.8171209	0.8171209	0.8171209	-2	0.01
1	-45.54985	-42.76677	-2.783074	1.401543	1.401543	1.401543	-2.602724	0.002496182
2	-45.47418	-42.73022	-2.743963	1.382257	1.382257	1.382257	-3.861024	0.0001377135
3	-44.72831	-42.73114	-1.997178	0.9644871	0.9644871	0.9644871	-3.71466	0.0001929033
4	-44.992	-42.8138	-2.178196	1.081258	1.081258	1.081258	-2.263434	0.005452124
5	-45.07455	-42.84834	-2.226208	1.10947	1.10947	1.10947	-2.115414	0.007666303
6	-48.12846	-42.87095	-5.257505	2.575325	2.575325	2.575325	-2.007408	0.009830872
7	-46.85846	-42.73434	-4.124121	2.034985	2.034985	2.034985	-3.380992	0.0004159187
8	-46.92593	-42.76238	-4.163554	2.053473	2.053473	2.053473	-2.641195	0.002284575
9	-47.1307	-42.87435	-4.256344	2.097037	2.097037	2.097037	-2.008045	0.009816463
10	-48.75178	-42.75095	-6.000837	2.944293	2.944293	2.944293	-2.797809	0.00159291
11	-48.74747	-42.74663	-6.000837	2.944293	2.944293	2.944293	-2.88871	0.001292081
12	-49.4084	-42.7889	-6.619503	3.262698	3.262698	3.262698	-2.36466	0.004318571
13	-47.37	-43.06997	-4.300028	2.117578	2.117578	2.117578	-1.634621	0.02319418
14	-47.10486	-42.80483	-4.300028	2.117578	2.117578	2.117578	-2.289089	0.005139387
15	-45.54285	-42.98379	-2.55906	1.289288	1.289288	1.289288	-1.782002	0.01651953
16	-45.42927	-42.79114	-2.63813	1.329449	1.329449	1.329449	-2.391758	0.004057349
17	-45.48591	-42.84778	-2.63813	1.329449	1.329449	1.329449	-2.112673	0.007714841
18	-45.67062	-42.75451	-2.916103	1.4664	1.4664	1.4664	-2.767029	0.001709902
19	-45.32394	-42.73662	-2.587324	1.303723	1.303723	1.303723	-3.261302	0.0005478956
20	-45.48954	-42.73454	-2.755	1.387711	1.387711	1.387711	-3.381192	0.0004157271
21	-46.0699	-42.76689	-3.303013	1.650705	1.650705	1.650705	-2.59616	0.002534196
22	-44.51831	-42.73772	-1.780589	0.6339772	0.6339772	0.6339772	-3.222505	0.0005990939
23	-44.60582	-42.73696	-1.868866	0.548772	0.548772	0.548772	-3.25993	0.0005496299
24	-44.54162	-42.77083	-1.770796	0.6601556	0.6601556	0.6601556	-2.57486	0.002661583
25	-45.19713	-42.75038	-2.446753	1.230909	1.230909	1.230909	-2.845943	0.001425794
26	-45.20537	-43.00016	-2.205211	1.097234	1.097234	1.097234	-1.759286	0.01740661
27	-44.71168	-42.93891	-1.772772	0.6530537	0.6530537	0.6530537	-1.880747	0.01315992
28	-44.75294	-42.81606	-1.936881	0.9194062	0.9194062	0.9194062	-2.255554	0.005551959
29	-44.58255	-42.73015	-1.852397	0.8444822	0.8444822	0.8444822	-3.885841	0.0001300646
30	-44.5173	-42.73321	-1.784089	0.7527168	0.7527168	0.7527168	-3.494203	0.0003204773
31	-44.69057	-42.76827	-1.922302	0.5203965	0.5203965	0.5203965	-2.604472	0.002486154
32	-44.61722	-42.73433	-1.882885	0.8738381	0.8738381	0.8738381	-3.405764	0.0003928587
33	-45.03329	-42.73425	-2.299041	1.150855	1.150855	1.150855	-3.405764	0.0003928587
34	-45.04977	-42.73054	-2.319231	1.162072	1.162072	1.162072	-3.80454	0.0001568413
35	-44.50605	-42.73015	-1.775899	0.7331594	0.7331594	0.7331594	-3.889253	0.0001290466
36	-44.80086	-42.79385	-2.007016	0.9714398	0.9714398	0.9714398	-2.381074	0.004158401
37	-44.75406	-42.74704	-2.007016	0.9714398	0.9714398	0.9714398	-2.921751	0.001197428
38	-44.58728	-42.74592	-1.841359	0.8328554	0.8328554	0.8328554	-2.951119	0.001119131
39	-46.19014	-42.73622	-3.453914	1.721592	1.721592	1.721592	-3.273377	0.0005328722
40	-45.24192	-42.73086	-2.511061	1.264551	1.264551	1.264551	-3.749309	0.0001781113
41	-46.18554	-42.73143	-3.454112	1.721684	1.721684	1.721684	-3.658781	0.0002193909
42	-44.5277	-42.73159	-1.79611	0.7745263	0.7745263	0.7745263	-3.658781	0.0002193909
43	-44.53536	-42.75889	-1.776464	0.6429066	0.6429066	0.6429066	-2.71744	0.001916727
44	-44.81696	-42.77191	-2.04505	0.4735533	0.4735533	0.4735533	-2.56774	0.002705576
45	-44.5267	-42.75761	-1.769088	0.6684986	0.6684986	0.6684986	-2.735446	0.001838884
46	-44.56021	-42.79257	-1.767635	0.6828521	0.6828521	0.6828521	-2.395622	0.004021406
47	-44.61351	-42.73746	-1.876053	0.8675506	0.8675506	0.8675506	-3.229644	0.0005893267
48	-45.40989	-42.75952	-2.650369	1.335608	1.335608	1.335608	-2.694367	0.002021309
49	-46.05296	-42.85109	-3.201876	1.602964	1.602964	1.602964	-2.094765	0.008039604
50	-47.78224	-43.09561	-4.686629	2.300471	2.300471	2.300471	-1.598135	0.02522694
51	-48.0252	-44.1256	-3.899599	1.929932	1.929932	1.929932	-1.003513	0.09919438
52	-48.5002	-44.10028	-4.399917	2.164632	2.164632	2.164632	-1.003513	0.09919438
53	-46.01387	-43.60644	-2.407434	1.210016	1.210016	1.210016	-1.239331	0.05763275
54	-44.53985	-42.75747	-1.782377	0.7490874	0.7490874	0.7490874	-2.735769	0.001837516
55	-44.51383	-42.73262	-1.781211	0.6327724	0.6327724	0.6327724	-3.549264	0.0002823163
56	-46.10415	-42.7327	-3.371452	0.2806865	0.2806865	0.2806865	-3.549264	0.0002823163
57	-46.8132	-42.79738	-4.01582	0.2380553	0.2380553	0.2380553	-2.373511	0.004231452
58	-46.14805	-43.03903	-3.109018	0.3030119	0.3030119	0.3030119	-1.719376	0.01908202
59	-45.80365	-42.73624	-3.067405	0.3069162	0.3069162	0.3069162	-3.301322	0.0004996638
60	-45.80329	-42.73588	-3.067405	0.3069162	0.3069162	0.3069162	-3.320704	0.0004778549
61	-45.80103	-42.73362	-3.067405	0.3069162	0.3069162	0.3069162	-3.469339	0.0003393605
62	-44.51984	-42.73357	-1.786278	0.757119	0.757119	0.757119	-3.464796	0.0003429288
63	-45.89985	-42.79822	-3.101633	1.555389	1.555389	1.555389	-2.340618	0.004564383
64	-46.18021	-42.76885	-3.411356	1.701633	1.701633	1.701633	-2.573573	0.002669484
65	-45.48083	-43.28981	-2.191026	1.08888	1.08888	1.08888	-1.441122	0.03621414
66	-44.68857	-42.90012	-1.788452	0.7612666	0.7612666	0.7612666	-1.966955	0.01079059
67	-44.533	-42.74455	-1.788452	0.7612666	0.7612666	0.7612666	-2.987135	0.001030067
68	-45.28059	-43.00269	-2.277901	1.138998	1.138998	1.138998	-1.754269	0.01760884
69	-44.77019	-42.88964	-1.880546	0.5418901	0.5418901	0.5418901	-1.999111	0.0100205
70	-44.66594	-42.78539	-1.880546	0.5418901	0.5418901	0.5418901	-2.449857	0.003549299
71	-44.84544	-43.07653	-1.768904	0.6696419	0.6696419	0.6696419	-1.661116	0.02182145
72	-44.53626	-42.75507	-1.781194	0.7464649	0.7464649	0.7464649	-2.772904	0.001686928
73	-45.36249	-43.59311	-1.76938	0.6668178	0.6668178	0.6668178	-1.262244	0.05467087
74	-46.17777	-44.31976	-1.858014	0.5556167	0.5556167	0.5556167	-0.9955951	0.1010194
75	-46.07353	-44.30552	-1.768017	0.6978678	0.6978678	0.6978678	-0.994151	0.1013559
76	-44.54803	-42.78002	-1.768017	0.6978678	0.6978678	0.6978678	-2.489427	0.003240207
77	-44.57427	-42.79816	-1.776103	0.7337338	0.7337338	0.7337338	-2.358405	0.00438122
78	-44.89653	-42.74145	-2.155077	1.067357	1.067357	1.067357	-3.071389	0.0008484203
79	-44.52544	-42.73258	-1.792852	0.6141753	0.6141753	0.6141753	-3.553443	0.0002796131
80	-44.51794	-42.73108	-1.78686	0.7582501	0.7582501	0.7582501	-3.726892	0.0001875461
81	-44.55515	-42.78689	-1.768254	0.7003002	0.7003002	0.7003002	-2.435329	0.003670041
82	-44.86688	-43.01888	-1.847998	0.8399255	0.8399255	0.8399255	-1.736163	0.01835849
83	-44.60157	-42.83368	-1.767882	0.6961903	0.6961903	0.6961903	-2.180851	0.006593996
84	-44.55172	-42.7311	-1.820616	0.8088748	0.8088748	0.8088748	-3.72319	0.0001891516
85	-44.93695	-43.16425	-1.7727	0.653285	0.653285	0.653285	-1.56333	0.0273319
86	-45.68161	-43.89752	-1.784086	0.752712	0.752712	0.752712	-1.125948	0.07482597
87	-46.79304	-44.98509	-1.807945	0.5962373	0.5962373	0.5962373	-0.8369605	0.1455591
88	-46.34577	-44.57147	-1.774307	0.6484824	0.6484824	0.6484824	-0.9260885	0.1185527
89	-45.41841	-43.64793	-1.770476	0.714085	0.714085	0.714085	-1.233689	0.05838629
90	-44.51799	-42.74752	-1.770476	0.714085	0.714085	0.714085	-2.916169	0.001212916
91	-46.05461	-42.73944	-3.315168	1.656429	1.656429	1.656429	-3.130018	0.0007412803
92	-44.5758	-42.73337	-1.842433	0.5663758	0.5663758	0.5663758	-3.484345	0.0003278346
93	-44.86226	-42.72984	-2.132426	0.4483741	0.4483741	0.4483741	-3.965899	0.0001081685
94	-44.72087	-42.87739	-1.843482	0.5656115	0.5656115	0.5656115	-2.032928	0.009269826
95	-44.5821	-42.73862	-1.843482	0.5656115	0.5656115	0.5656115	-3.185211	0.0006528138
96	-45.0127	-43.16008	-1.852619	0.5592054	0.5592054	0.5592054	-1.569849	0.02692469
97	-44.68684	-42.87107	-1.815768	0.5884466	0.5884466	0.5884466	-2.05124	0.008887102
98	-44.59114	-42.72999	-1.861156	0.8532852	0.8532852	0.8532852	-3.921607	0.0001197825
99	-44.50739	-42.73391	-1.773478	0.7257428	0.7257428	0.7257428	-3.439195	0.000363752
100	-44.56754	-42.73028	-1.837254	0.5702466	0.5702466	0.5702466	-3.864713	0.0001365487
101	-44.89996	-42.73661	-2.163345	0.4404951	0.4404951	0.4404951	-3.27939	0.0005255453
102	-44.90473	-42.74138	-2.163345	0.4404951	0.4404951	0.4404951	-3.086462	0.0008194791
103	-44.53266	-42.74749	-1.785169	0.7549199	0.7549199	0.7549199	-2.915967	0.001213482
104	-45.13567	-42.73576	-2.399908	1.205986	1.205986	1.205986	-3.309244	0.0004906323
105	-44.52528	-42.75038	-1.774903	0.7302501	0.7302501	0.7302501	-2.856189	0.001392552
106	-44.64148	-42.86658	-1.774903	0.7302501	0.7302501	0.7302501	-2.062105	0.008667522
107	-44.72924	-42.73098	-1.998251	0.4893719	0.4893719	0.4893719	-3.746404	0.0001793065
108	-44.7593	-42.73451	-2.024784	0.480162	0.480162	0.480162	-3.401231	0.0003969807
109	-44.83794	-42.73239	-2.105547	0.4556212	0.4556212	0.4556212	-3.575214	0.0002659412
110	-46.19294	-42.78094	-3.412005	0.2775464	0.2775464	0.2775464	-2.490411	0.003232876
111	-46.57327	-42.7302	-3.843068	0.2481543	0.2481543	0.2481543	-3.887156	0.0001296714
112	-46.48166	-42.787	-3.694656	0.2575331	0.2575331	0.2575331	-2.443635	0.003600515
113	-46.44672	-42.73396	-3.712763	0.2563509	0.2563509	0.2563509	-3.444967	0.000358949
114	-46.18349	-42.7664	-3.417091	0.2771578	0.2771578	0.2771578	-2.630131	0.00234352
115	-45.66181	-42.88989	-2.771912	0.3383593	0.3383593	0.3383593	-2.002822	0.009935221
116	-44.79533	-42.86789	-1.927437	0.5180198	0.5180198	0.5180198	-2.062548	0.00865868
117	-45.06526	-42.76289	-2.302374	0.4097866	0.4097866	0.4097866	-2.669222	0.002141794
118	-44.52731	-42.73026	-1.797042	0.6086989	0.6086989	0.6086989	-3.867867	0.0001355605
119	-45.13927	-42.73029	-2.408989	0.3901123	0.3901123	0.3901123	-3.867867	0.0001355605
120	-44.64568	-42.73084	-1.914846	0.5239386	0.5239386	0.5239386	-3.768276	0.0001704998
121	-44.6649	-42.75005	-1.914846	0.5239386	0.5239386	0.5239386	-2.866825	0.001358861
122	-44.57945	-42.81143	-1.768024	0.6979444	0.6979444	0.6979444	-2.283767	0.00520275
123	-44.83245	-42.9925	-1.839947	0.8313185	0.8313185	0.8313185	-1.777902	0.01667624
124	-44.66033	-42.72983	-1.930504	0.5166233	0.5166233	0.5166233	-3.966597	0.0001079949
125	-44.77326	-42.86136	-1.911898	0.5253708	0.5253708	0.5253708	-2.083195	0.008256669
126	-45.18628	-42.73094	-2.455345	1.23544	1.23544	1.23544	-3.738082	0.0001827755
127	-46.24077	-42.73477	-3.505998	1.74599	1.74599	1.74599	-3.357985	0.0004385462
128	-46.07219	-42.79288	-3.279307	1.639535	1.639535	1.639535	-2.373265	0.004233845
129	-46.00994	-42.73063	-3.279307	1.639535	1.639535	1.639535	-3.779126	0.000166293
130	-46.01104	-42.73173	-3.279307	1.639535	1.639535	1.639535	-3.623287	0.0002380744
131	-46.05764	-42.77833	-3.279307	1.639535	1.639535	1.639535	-2.483977	0.003281124
132	-46.11124	-42.83193	-3.279307	1.639535	1.639535	1.639535	-2.167808	0.006795041
133	-46.41708	-42.74268	-3.674407	1.824738	1.824738	1.824738	-3.017489	0.0009605308
134	-45.75111	-42.7305	-3.020613	1.5167	1.5167	1.5167	-3.804668	0.0001567948
135	-45.75285	-42.73224	-3.020613	1.5167	1.5167	1.5167	-3.569438	0.0002695021
136	-45.75357	-42.73296	-3.020613	1.5167	1.5167	1.5167	-3.499842	0.0003163431
137	-45.81041	-42.7898	-3.020613	1.5167	1.5167	1.5167	-2.397157	0.004007222
138	-45.39603	-42.94537	-2.45066	1.232971	1.232971	1.232971	-1.854533	0.01397869
139	-46.19696	-42.77342	-3.423536	1.707347	1.707347	1.707347	-2.527241	0.002970017
140	-45.81506	-42.73916	-3.075894	1.543124	1.543124	1.543124	-3.143097	0.0007192884
141	-46.62153	-42.74085	-3.880686	1.921094	1.921094	1.921094	-3.073707	0.0008439038
142	-45.33016	-42.78828	-2.541871	1.280463	1.280463	1.280463	-2.412992	0.003863743
143	-45.68702	-42.74	-2.947016	1.48133	1.48133	1.48133	-3.112755	0.0007713383
144	-45.3099	-42.88223	-2.427669	1.220801	1.220801	1.220801	-2.004735	0.009891565
145	-45.54889	-43.38086	-2.168037	1.075177	1.075177	1.075177	-1.375114	0.04215857
146	-45.05588	-43.2325	-1.823379	0.8122676	0.8122676	0.8122676	-1.49563	0.03194262
147	-44.865	-42.76854	-2.096458	1.031	1.031	1.031	-2.591107	0.00256385
148	-44.79986	-42.74581	-2.054056	1.003493	1.003493	1.003493	-2.950334	0.001121156
149	-44.80883	-42.736	-2.072824	1.015811	1.015811	1.015811	-3.299926	0.0005012727
150	-45.11031	-42.99502	-2.115298	1.042875	1.042875	1.042875	-1.768897	0.01702562
151	-45.11441	-42.73562	-2.378791	1.194621	1.194621	1.194621	-3.317707	0.000481164
152	-45.18377	-42.75704	-2.426724	1.2203	1.2203	1.2203	-2.732435	0.001851675
153	-44.56355	-42.73456	-1.828989	0.8189503	0.8189503	0.8189503	-3.390954	0.0004064863
154	-45.11822	-42.77789	-2.340336	1.173695	1.173695	1.173695	-2.497734	0.00317882
155	-45.07001	-42.72967	-2.340336	1.173695	1.173695	1.173695	-3.993554	0.0001014953
156	-46.66088	-42.72961	-3.931265	1.944731	1.944731	1.944731	-3.993554	0.0001014953
157	-44.50309	-42.73548	-1.767613	0.6911315	0.6911315	0.6911315	-3.336323	0.0004609743
158	-44.51163	-42.737	-1.774634	0.64758	0.64758	0.64758	-3.255995	0.0005546317
159	-45.90064	-42.76486	-3.135784	1.57163	1.57163	1.57163	-2.621188	0.002392282
160	-45.86682	-42.73103	-3.135784	1.57163	1.57163	1.57163	-3.716756	0.0001919745
161	-46.12288	-42.73492	-3.387964	1.690653	1.690653	1.690653	-3.349743	0.0004469482
162	-45.04405	-42.76545	-2.278592	1.139387	1.139387	1.139387	-2.623322	0.002380555
163	-44.84987	-42.73704	-2.112829	1.04133	1.04133	1.04133	-3.246104	0.0005674091
164	-44.86408	-42.75125	-2.112829	1.04133	1.04133	1.04133	-2.833093	0.001468612
165	-45.43102	-42.82987	-2.601152	1.310752	1.310752	1.310752	-2.183702	0.006550858
166	-46.08273	-42.74798	-3.334743	1.66564	1.66564	1.66564	-2.886127	0.001299791
167	-46.93369	-42.72986	-4.203838	2.072375	2.072375	2.072375	-3.927253	0.0001182354
168	-46.00196	-42.76262	-3.239349	1.62068	1.62068	1.62068	-2.647503	0.002251632
169	-47.90424	-42.99405	-4.910182	2.407337	2.407337	2.407337	-1.738444	0.01826234
170	-47.29122	-43.11519	-4.176032	2.059327	2.059327	2.059327	-1.581111	0.02623547
171	-47.29065	-43.11462	-4.176032	2.059327	2.059327	2.059327	-1.581763	0.02619614
172	-47.99512	-44.32073	-3.674386	1.824728	1.824728	1.824728	-0.9458264	0.1132853
173	-46.85349	-44.40315	-2.450346	1.232805	1.232805	1.232805	-0.9458264	0.1132853
174	-46.0491	-44.22246	-1.82664	0.8161852	0.8161852	0.8161852	-1.013981	0.09683212
175	-45.74044	-43.26256	-2.477873	1.247266	1.247266	1.247266	-1.458939	0.03475847
176	-44.75198	-42.73461	-2.017376	0.9786611	0.9786611	0.9786611	-3.384814	0.0004122736
177	-45.10144	-43.31076	-1.790672	0.7653049	0.7653049	0.7653049	-1.433494	0.03685582
178	-44.91937	-43.1287	-1.790672	0.7653049	0.7653049	0.7653049	-1.597799	0.02524648
179	-45.05707	-42.73029	-2.326779	1.16624	1.16624	1.16624	-3.851969	0.0001406147
180	-44.9934	-42.73702	-2.256386	1.126805	1.126805	1.126805	-3.245371	0.0005683666
181	-44.99304	-42.73666	-2.256386	1.126805	1.126805	1.126805	-3.263043	0.0005457041
182	-45.91043	-42.82958	-3.080852	1.545488	1.545488	1.545488	-2.179832	0.00660949
183	-44.89378	-42.75582	-2.137955	1.056912	1.056912	1.056912	-2.754587	0.001759598
184	-45.02869	-42.73399	-2.294704	1.148432	1.148432	1.148432	-3.424566	0.0003762133
185	-44.55887	-42.74798	-1.810888	0.7962858	0.7962858	0.7962858	-2.90435	0.001246378
186	-45.05764	-42.73035	-2.327288	1.166522	1.166522	1.166522	-3.839102	0.000144843
187	-47.18545	-42.73799	-4.447458	2.187072	2.187072	2.187072	-3.177777	0.0006640839
188	-46.94187	-42.73517	-4.206699	2.073718	2.073718	2.073718	-3.326085	0.0004719708
189	-45.88775	-42.73182	-3.155931	1.581195	1.581195	1.581195	-3.614037	0.0002431995
190	-45.93204	-42.77611	-3.155931	1.581195	1.581195	1.581195	-2.50486	0.003127086
191	-44.84383	-42.89529	-1.948543	0.9285096	0.9285096	0.9285096	-1.97571	0.01057522
192	-44.92392	-42.75976	-2.164153	1.072841	1.072841	1.072841	-2.696518	0.002011323
193	-44.54538	-42.74735	-1.798035	0.777602	0.777602	0.777602	-2.918667	0.001205961
194	-45.10152	-42.7518	-2.34972	1.17883	1.17883	1.17883	-2.820132	0.001513102
195	-44.94512	-42.82855	-2.116572	1.043671	1.043671	1.043671	-2.195139	0.006380591
