Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_plstm	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_plstm[1]	rates_plstm[2]	rates_plstm[3]	rates_plstm[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-686715.3	-686603.1	-112.2109	30.43384	1	0.03523815	-0.07025135	0.0149321	0.463584	0.138672	0.236504	0.125993	0.0203151	0.1005739	0.136954	0.476752	1	2.38629	0.024327	0.0846214	0.546088	0.344963	0.03032258	3.3168
1	1	-1706436	-1706304	-132.3502	52.33835	1	0.1805936	0.03687674	0.0511772	0.0272654	0.0908139	0.202287	0.501796	0.126661	0.00180443	0.136954	0.476752	1	2.38629	0.0402831	0.0427467	0.651357	0.265613	0.03868117	0.0466488
2	0	-333443.9	-333371.4	-72.52899	7.59286	0.2146291	0.0104337	-0.39862	0.0693201	0.372607	0.16516	0.0525281	0.276254	0.0641304	0.4342652	0.000850365	0.0426182	0.42075	3.53578	0.0467051	0.0932939	0.559092	0.300908	0.03564519	12.18299
3	1	-282577.1	-282494.4	-82.65939	5.311141	0.2960093	0.008460054	0.2840392	0.0509533	0.0370578	0.0906458	0.0696932	0.538757	0.212893	0.002245401	0.00497718	0.101394	0.58904	3.30459	0.182072	0.21529	0.360209	0.242429	0.2862846	0.007843248
4	0	-292658.7	-292595	-63.78498	2.538147	0.05454958	0.01698422	-1.051452	0.157316	0.198102	0.187832	0.053856	0.345473	0.0574214	1.166694	5.10864e-12	3.37133e-06	0.00855959	3.99144	0.0906948	0.1684	0.461385	0.27952	0.1152424	10.12383
5	1	-259380.7	-259298.8	-81.85955	6.553822	0.1461903	0.004914485	0.5270842	0.140268	0.143846	0.167525	0.102125	0.327346	0.118889	0.005515948	4.17416e-05	0.00954935	0.230306	3.7601	0.280039	0.201389	0.207127	0.311445	0.5326001	0.01035664
6	0	-263278	-263211.5	-66.53905	2.538147	0.02061785	0.02027604	-1.670056	0.168424	0.233447	0.14061	0.0725189	0.298872	0.0861287	1.720386	3.52237e-30	2.80751e-15	1.46262e-06	4	0.218311	0.160681	0.323642	0.297367	0.05033067	34.18167
7	1	-257719.8	-257638.9	-80.90257	6.553822	0.09713914	0.004853041	0.6148073	0.111817	0.282621	0.163437	0.101481	0.233516	0.107128	0.02185603	3.50186e-07	0.000879453	0.0861677	3.91295	0.316666	0.188306	0.203815	0.291213	0.6366633	0.03432902
8	0	-258233.1	-258168.8	-64.21906	2.538147	0.03311033	0.02088478	-0.849323	0.128968	0.2348	0.117587	0.103096	0.300605	0.114944	0.8895276	3.65899e-19	9.03892e-10	0.000282193	3.99972	0.294473	0.178237	0.216286	0.311004	0.04020457	22.12504
9	1	-257467	-257386	-80.98257	6.553822	0.03328901	0.004853041	0.5679186	0.111866	0.288846	0.14543	0.101525	0.233618	0.118714	0.05249246	4.5809e-19	1.01136e-09	0.000295657	3.9997	0.295867	0.194442	0.217224	0.292467	0.6204111	0.08460915
10	0	-258198.1	-258134.2	-63.88921	2.538147	0.02117313	0.02064234	-1.243952	0.128555	0.259706	0.111925	0.104272	0.286132	0.10941	1.277723	2.05405e-29	6.77935e-15	2.10868e-06	4	0.295583	0.178364	0.213878	0.312176	0.03377097	37.83496
11	1	-257257.3	-257175.6	-81.76181	6.553822	0.03165083	0.004853041	0.437424	0.123805	0.266403	0.107754	0.0997123	0.285732	0.116594	0.110671	5.30871e-20	3.44338e-10	0.000189081	3.99981	0.304762	0.180289	0.21369	0.301259	0.548095	0.2019194
12	0	-258196.3	-258133	-63.36562	2.538147	0.01764376	0.02038767	-1.076791	0.128555	0.259706	0.111925	0.104272	0.286132	0.10941	1.096238	4.21558e-35	9.71503e-18	1.39286e-07	4	0.295726	0.17845	0.213495	0.312328	0.01944678	56.37117
13	1	-257222.4	-257139.2	-83.13905	6.553822	0.05249396	0.0050101	0.5780993	0.125319	0.262286	0.118113	0.0981715	0.281317	0.114792	0.1728161	1.88911e-12	2.05046e-06	0.00696366	3.99303	0.306067	0.177595	0.213788	0.30255	0.7509154	0.2301406
14	0	-257927.2	-257864.4	-62.73005	1.925138	0.03823588	0.02038767	-1.132712	0.12814	0.258868	0.111564	0.103936	0.285209	0.112283	1.162888	1.00113e-16	1.49448e-08	0.000903721	3.9991	0.296763	0.179076	0.214244	0.309918	0.03017592	38.53696
15	1	-257130.9	-257047.3	-83.64751	6.430095	0.02033781	0.004390487	0.4261328	0.117257	0.255816	0.118831	0.11408	0.283026	0.110991	0.1517172	1.39564e-30	1.76726e-15	1.20702e-06	4	0.30329	0.181135	0.213472	0.302102	0.57785	0.2625547
16	0	-257892.4	-257829.2	-63.20543	1.925138	0.02318011	0.02038767	-1.333398	0.12814	0.258868	0.111564	0.103936	0.285209	0.112283	1.376458	5.94871e-27	1.1535e-13	6.8354e-06	3.99999	0.296763	0.179076	0.214244	0.309918	0.04306002	31.96603
17	1	-257095.5	-257009.4	-86.17453	6.835716	0.01243146	0.004177142	0.7365036	0.117661	0.256697	0.11924	0.105433	0.284001	0.116968	0.1101706	2.0798e-49	6.8269e-25	1.49721e-10	4	0.30329	0.181135	0.213472	0.302102	0.8466742	0.1301216
18	0	-257895.1	-257831.2	-63.85431	1.925138	0.0301204	0.02076773	-1.252385	0.127223	0.257014	0.110766	0.110351	0.283167	0.111479	1.342926	5.7357e-21	1.13198e-10	0.000119175	3.99988	0.296763	0.179076	0.214244	0.309918	0.09054024	14.83236
19	1	-257026.8	-256942	-84.84807	7.829206	0.01229266	0.003961955	0.431473	0.117587	0.257685	0.118614	0.105367	0.283822	0.116926	0.1143942	5.90463e-50	3.6376e-25	1.15296e-10	4	0.301369	0.179988	0.212119	0.306524	0.5458672	0.2095641
20	0	-257890.6	-257826.8	-63.77835	1.925138	0.01445155	0.02019559	-0.8136947	0.128259	0.261711	0.11195	0.103124	0.282284	0.112672	0.8647857	1.22358e-42	1.65559e-21	3.80175e-09	4	0.296763	0.179076	0.214244	0.309918	0.05109102	16.92637
21	1	-256911.6	-256826.1	-85.48736	7.829206	0.009054937	0.003623037	0.4110442	0.11575	0.268496	0.116761	0.104507	0.279388	0.115099	0.06350387	1.81522e-67	6.37979e-34	2.67847e-14	4	0.301369	0.179988	0.212119	0.306524	0.474548	0.1338197
