Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_plstm	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_plstm[1]	rates_plstm[2]	rates_plstm[3]	rates_plstm[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-1706436	-1706304	-132.3502	52.33835	1	0.1805936	0.03687674	0.0511772	0.0272654	0.0908139	0.202287	0.501796	0.126661	0.00180443	0.136954	0.476752	1	2.38629	0.0402831	0.0427467	0.651357	0.265613	0.03868117	0.0466488
10	-282577.1	-282494.4	-82.65939	5.311141	0.2960093	0.008460054	0.2840392	0.0509533	0.0370578	0.0906458	0.0696932	0.538757	0.212893	0.002245401	0.00497718	0.101394	0.58904	3.30459	0.182072	0.21529	0.360209	0.242429	0.2862846	0.007843248
20	-259380.7	-259298.8	-81.85955	6.553822	0.1461903	0.004914485	0.5270842	0.140268	0.143846	0.167525	0.102125	0.327346	0.118889	0.005515948	4.17416e-05	0.00954935	0.230306	3.7601	0.280039	0.201389	0.207127	0.311445	0.5326001	0.01035664
30	-257719.8	-257638.9	-80.90257	6.553822	0.09713914	0.004853041	0.6148073	0.111817	0.282621	0.163437	0.101481	0.233516	0.107128	0.02185603	3.50186e-07	0.000879453	0.0861677	3.91295	0.316666	0.188306	0.203815	0.291213	0.6366633	0.03432902
40	-257467	-257386	-80.98257	6.553822	0.03328901	0.004853041	0.5679186	0.111866	0.288846	0.14543	0.101525	0.233618	0.118714	0.05249246	4.5809e-19	1.01136e-09	0.000295657	3.9997	0.295867	0.194442	0.217224	0.292467	0.6204111	0.08460915
50	-257257.3	-257175.6	-81.76181	6.553822	0.03165083	0.004853041	0.437424	0.123805	0.266403	0.107754	0.0997123	0.285732	0.116594	0.110671	5.30871e-20	3.44338e-10	0.000189081	3.99981	0.304762	0.180289	0.21369	0.301259	0.548095	0.2019194
60	-257222.4	-257139.2	-83.13905	6.553822	0.05249396	0.0050101	0.5780993	0.125319	0.262286	0.118113	0.0981715	0.281317	0.114792	0.1728161	1.88911e-12	2.05046e-06	0.00696366	3.99303	0.306067	0.177595	0.213788	0.30255	0.7509154	0.2301406
70	-257130.9	-257047.3	-83.64751	6.430095	0.02033781	0.004390487	0.4261328	0.117257	0.255816	0.118831	0.11408	0.283026	0.110991	0.1517172	1.39564e-30	1.76726e-15	1.20702e-06	4	0.30329	0.181135	0.213472	0.302102	0.57785	0.2625547
80	-257095.5	-257009.4	-86.17453	6.835716	0.01243146	0.004177142	0.7365036	0.117661	0.256697	0.11924	0.105433	0.284001	0.116968	0.1101706	2.0798e-49	6.8269e-25	1.49721e-10	4	0.30329	0.181135	0.213472	0.302102	0.8466742	0.1301216
90	-257026.8	-256942	-84.84807	7.829206	0.01229266	0.003961955	0.431473	0.117587	0.257685	0.118614	0.105367	0.283822	0.116926	0.1143942	5.90463e-50	3.6376e-25	1.15296e-10	4	0.301369	0.179988	0.212119	0.306524	0.5458672	0.2095641
