Iteration	Posterior	Likelihood	Prior	age_uapaca	birth_rate	clock_rate	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	root_time	sf[1]	sf[2]	sf[3]	sf[4]	turnover
0	-14384.77	-14296.64	-88.13433	107.1137	0.2529257	0.0006200247	0.1318025	0.4788885	0.1211232	0.109664	0.284203	0.10695	0.0532635	0.360201	0.0857193	107.1137	0.268227	0.176131	0.276297	0.279345	0.5211115
10	-14346.94	-14266.46	-80.48072	82.28509	0.421043	0.0009128802	0.2557463	0.3925886	0.1652967	0.169054	0.265817	0.105881	0.042175	0.336899	0.080174	82.28509	0.262219	0.1755	0.287553	0.274728	0.6074114
20	-14354.06	-14268.48	-85.58598	77.62623	0.2351854	0.0007889801	0.006359555	0.9729594	0.2288258	0.146586	0.314245	0.0680203	0.074676	0.287038	0.109435	77.62623	0.273674	0.16599	0.271346	0.28899	0.0270406
30	-14363.65	-14282.24	-81.41356	78.75433	0.4554925	0.0008380313	0.1379954	0.6970413	0.3174971	0.157894	0.241157	0.123869	0.0727891	0.309758	0.0945326	78.75433	0.259464	0.191192	0.260082	0.289262	0.3029587
40	-14365.15	-14284.5	-80.65541	103.2581	0.374997	0.000860421	0.2174534	0.4201196	0.1575436	0.124494	0.254628	0.130788	0.0750951	0.314665	0.10033	103.2581	0.257791	0.178767	0.276273	0.28717	0.5798804
50	-14377.51	-14295.2	-82.31183	69.301	0.278173	0.0009758032	0.07200221	0.7411603	0.2061708	0.167612	0.24257	0.088856	0.131495	0.263621	0.105845	69.301	0.270299	0.180277	0.270038	0.279385	0.2588397
60	-14382.7	-14303.64	-79.06292	99.76112	0.3606597	0.0008701751	0.1857755	0.4849008	0.1748841	0.104786	0.306231	0.076457	0.0519292	0.357737	0.10286	99.76112	0.269016	0.181936	0.264939	0.284109	0.5150992
70	-14365.01	-14281.66	-83.35584	92.09536	0.3402332	0.000717235	0.1869987	0.4503807	0.1532345	0.122061	0.292425	0.0724894	0.0749315	0.359028	0.0790652	92.09536	0.27066	0.167931	0.268741	0.292668	0.5496193
80	-14354.15	-14271.17	-82.98515	102.7611	0.5089566	0.0009650024	0.3583382	0.2959357	0.1506184	0.167383	0.231644	0.0844091	0.0844421	0.315676	0.116446	102.7611	0.25705	0.177205	0.282039	0.283706	0.7040643
90	-14344.03	-14260.8	-83.23219	83.01406	0.308217	0.0007299329	0.05771317	0.8127515	0.2505038	0.170635	0.283423	0.0780209	0.0685027	0.291785	0.107633	83.01406	0.267088	0.176018	0.261989	0.294904	0.1872485
100	-14348.7	-14266.24	-82.45439	96.8888	0.232155	0.0007829152	0.09410869	0.5946299	0.1380463	0.210067	0.26811	0.0861377	0.0653089	0.265645	0.104731	96.8888	0.263922	0.181942	0.269592	0.284544	0.4053701
110	-14371.66	-14285.48	-86.18014	95.06494	0.518406	0.0008310972	0.2568918	0.5044582	0.2615141	0.195011	0.269874	0.0533525	0.0837641	0.329799	0.0681997	95.06494	0.277268	0.180525	0.270447	0.27176	0.4955418
120	-14370.83	-14282.07	-88.76493	98.27335	0.228396	0.000609966	0.1478922	0.3524745	0.08050375	0.146468	0.227528	0.122083	0.0800412	0.353342	0.0705386	98.27335	0.262463	0.18917	0.258582	0.289786	0.6475255
130	-14340.17	-14256.23	-83.93573	89.68629	0.2560557	0.0008295584	0.01586865	0.9380266	0.2401871	0.10856	0.245569	0.114232	0.0654188	0.38898	0.07724	89.68629	0.263492	0.17332	0.277331	0.285857	0.06197341
140	-14368.9	-14270.12	-98.77817	139.9889	0.168394	0.0003837624	0.02181618	0.8704456	0.1465778	0.191428	0.291853	0.0584308	0.060743	0.30688	0.0906655	139.9889	0.263548	0.177894	0.278443	0.280115	0.1295544
150	-14370.66	-14269.84	-100.8221	108.9778	0.2348124	0.0003621346	0.1759595	0.2506382	0.05885297	0.17259	0.239678	0.0974979	0.0766101	0.326807	0.0868175	108.9778	0.274623	0.182336	0.258817	0.284225	0.7493618
160	-14378.35	-14283.66	-94.68582	114.5429	0.2532602	0.0004418987	0.1429022	0.4357496	0.110358	0.141533	0.247083	0.0943331	0.0749376	0.352613	0.0894999	114.5429	0.267401	0.171691	0.282434	0.278475	0.5642504
170	-14380.05	-14288.53	-91.51707	121.543	0.1914326	0.0005411692	0.01447713	0.9243748	0.1769555	0.132615	0.273009	0.117527	0.0639406	0.331153	0.0817552	121.543	0.257991	0.182416	0.282563	0.27703	0.0756252
180	-14386.18	-14298	-88.17486	128.759	0.2414372	0.0007337235	0.09585772	0.6029703	0.1455795	0.170016	0.244711	0.088724	0.0605096	0.361346	0.0746935	128.759	0.275362	0.176332	0.266445	0.281861	0.3970297
190	-14372.83	-14284.93	-87.90483	101.0797	0.1998079	0.000837074	0.03277156	0.8359846	0.1670363	0.137387	0.237055	0.0889819	0.058572	0.385983	0.0920218	101.0797	0.273149	0.170748	0.284095	0.272008	0.1640154
200	-14353.82	-14272.3	-81.5184	86.35296	0.3111014	0.0008692768	0.09241845	0.7029314	0.2186829	0.162064	0.279635	0.100952	0.0690927	0.279705	0.108551	86.35296	0.27898	0.181291	0.263509	0.27622	0.2970686
210	-14374.03	-14299.45	-74.57497	83.2251	0.4194017	0.001108638	0.06640718	0.8416621	0.3529946	0.174276	0.22869	0.0772328	0.0434526	0.344591	0.131758	83.2251	0.276674	0.163971	0.267688	0.291668	0.1583379
220	-14372.63	-14283.98	-88.643	80.06174	0.1814976	0.000718715	0.09719499	0.4644832	0.08430257	0.170298	0.223162	0.0627709	0.0870431	0.374842	0.0818835	80.06174	0.278189	0.164564	0.274313	0.282934	0.5355168
230	-14383.46	-14300.89	-82.5739	106.9324	0.3215785	0.0006996598	0.1405081	0.5630675	0.1810704	0.198166	0.209183	0.0884958	0.0868633	0.343572	0.0737195	106.9324	0.279226	0.171978	0.265703	0.283093	0.4369325
