state	power	likelihood
260	1	-14247.8
270	1	-14248.2
280	1	-14245.8
290	1	-14254.4
300	1	-14250.9
310	1	-14249.3
320	1	-14244.8
330	1	-14248.5
340	1	-14250.4
350	1	-14250.8
360	1	-14248.9
370	1	-14263.4
380	1	-14245.7
390	1	-14251.2
400	1	-14253.4
410	1	-14248.9
420	1	-14251.2
430	1	-14251.2
440	1	-14253.4
450	1	-14254.1
460	1	-14257.3
470	1	-14250.8
480	1	-14248.1
490	1	-14252.2
500	1	-14251.5
510	1	-14254.1
520	1	-14252.7
530	1	-14254.2
540	1	-14248.8
550	1	-14256.7
560	1	-14259
570	1	-14263.1
580	1	-14257.2
590	1	-14254.8
600	1	-14249
610	1	-14253.8
620	1	-14249.7
630	1	-14251.3
640	1	-14251.8
650	1	-14247.8
660	1	-14257.1
670	1	-14251.6
680	1	-14254.1
690	1	-14250.7
700	1	-14247
710	1	-14248.6
720	1	-14250.7
730	1	-14250.7
740	1	-14251.8
750	1	-14252.2
760	1	-14249.2
770	1	-14252.9
780	1	-14252.5
790	1	-14252.6
800	1	-14249.9
810	1	-14253.3
820	1	-14253
830	1	-14250.7
840	1	-14251.3
850	1	-14246.6
860	1	-14257.4
870	1	-14252
880	1	-14254.9
890	1	-14255.2
900	1	-14254.5
910	1	-14258.3
920	1	-14253
930	1	-14247.9
940	1	-14251.8
950	1	-14248.6
960	1	-14245.1
970	1	-14248.1
980	1	-14248.6
990	1	-14252.7
1000	1	-14247
260	0.90204	-14250.9
270	0.90204	-14245.1
280	0.90204	-14248.6
290	0.90204	-14257
300	0.90204	-14251.8
310	0.90204	-14251.5
320	0.90204	-14247.5
330	0.90204	-14252.9
340	0.90204	-14247.8
350	0.90204	-14244.6
360	0.90204	-14255.1
370	0.90204	-14254.7
380	0.90204	-14252.6
390	0.90204	-14247.1
400	0.90204	-14248.8
410	0.90204	-14251.2
420	0.90204	-14252.3
430	0.90204	-14248.4
440	0.90204	-14251.8
450	0.90204	-14249.3
460	0.90204	-14258.9
470	0.90204	-14253.5
480	0.90204	-14248.4
490	0.90204	-14255.2
500	0.90204	-14252.8
510	0.90204	-14252.3
520	0.90204	-14249.7
530	0.90204	-14254.4
540	0.90204	-14250.7
550	0.90204	-14242.6
560	0.90204	-14248.4
570	0.90204	-14252.3
580	0.90204	-14251
590	0.90204	-14252.8
600	0.90204	-14248
610	0.90204	-14254.3
620	0.90204	-14254.4
630	0.90204	-14252.9
640	0.90204	-14250.9
650	0.90204	-14257.8
660	0.90204	-14248.4
670	0.90204	-14253.7
680	0.90204	-14259.7
690	0.90204	-14247.3
700	0.90204	-14254.6
710	0.90204	-14248
720	0.90204	-14248.1
730	0.90204	-14249
740	0.90204	-14251.5
750	0.90204	-14253.6
760	0.90204	-14259.5
770	0.90204	-14253.1
780	0.90204	-14251
790	0.90204	-14253.2
800	0.90204	-14251.8
810	0.90204	-14256.6
820	0.90204	-14252
830	0.90204	-14254.1
840	0.90204	-14249.8
850	0.90204	-14252.4
860	0.90204	-14254.2
