state	power	likelihood
260	0.410146	-14256.9
270	0.410146	-14276.6
280	0.410146	-14262.8
290	0.410146	-14282.8
300	0.410146	-14295.6
310	0.410146	-14283.3
320	0.410146	-14284.5
330	0.410146	-14284.9
340	0.410146	-14277.9
350	0.410146	-14282.8
360	0.410146	-14291.6
370	0.410146	-14271.6
380	0.410146	-14255.6
390	0.410146	-14284.8
400	0.410146	-14268.4
410	0.410146	-14285.5
420	0.410146	-14266.3
430	0.410146	-14271.1
440	0.410146	-14269.7
450	0.410146	-14270.5
460	0.410146	-14275.4
470	0.410146	-14272.8
480	0.410146	-14287.3
490	0.410146	-14274.8
500	0.410146	-14290.2
510	0.410146	-14302.9
520	0.410146	-14289
530	0.410146	-14274.6
540	0.410146	-14283.2
550	0.410146	-14273.2
560	0.410146	-14266.4
570	0.410146	-14286.1
580	0.410146	-14270.4
590	0.410146	-14280.2
600	0.410146	-14285
610	0.410146	-14279.7
620	0.410146	-14283.3
630	0.410146	-14285.8
640	0.410146	-14320.3
650	0.410146	-14297.3
660	0.410146	-14269
670	0.410146	-14274.2
680	0.410146	-14263.4
690	0.410146	-14274
700	0.410146	-14298.8
710	0.410146	-14269.3
720	0.410146	-14267
730	0.410146	-14262.8
740	0.410146	-14276.2
750	0.410146	-14268.8
760	0.410146	-14268.7
770	0.410146	-14270.3
780	0.410146	-14264.4
790	0.410146	-14269.7
800	0.410146	-14274.7
810	0.410146	-14288
820	0.410146	-14286.4
830	0.410146	-14290.1
840	0.410146	-14287.1
850	0.410146	-14287.4
860	0.410146	-14279.1
870	0.410146	-14290.9
880	0.410146	-14275.8
890	0.410146	-14285.4
900	0.410146	-14288
910	0.410146	-14271.4
920	0.410146	-14265.2
930	0.410146	-14268.4
940	0.410146	-14274.9
950	0.410146	-14282.3
960	0.410146	-14274.4
970	0.410146	-14283.4
980	0.410146	-14277.9
990	0.410146	-14292.9
1000	0.410146	-14283.3
