Iteration	Posterior	Likelihood	Prior	age_uapaca	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	root_time	sf[1]	sf[2]	sf[3]	sf[4]	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-14045.87	-14218.06	172.1973	94.14956	0.1733915	0.001108446	0.0004265453	9.086771e-05	0.0003456364	0.0002632691	0.000548945	0.0001758689	0.0001807716	0.0003795393	0.0002247697	0.0001455517	0.0004889182	0.0004525654	0.0003117283	0.001454096	0.001235823	0.0007978323	0.0003299289	0.0004609219	0.0007137031	0.001146001	0.0001315287	0.001094583	0.0004381892	0.0006370983	0.0001505615	0.0004805539	0.0004254724	0.0007633343	0.0007486091	0.0003557266	0.0003305725	0.0003999382	0.0001851928	0.0001460576	0.000223657	0.0005279345	0.001082817	0.003541246	0.0004543133	0.09120935	0.4739687	0.08218215	0.152837	0.29382	0.0882164	0.071433	0.303986	0.0897079	0.0005849779	94.14956	0.27153	0.176165	0.260182	0.292124	0.5260313	0.0005931812	-7.776627	0.8326065	0.6932336
10	-14051.61	-14207.7	156.0911	98.27243	0.2212692	0.0007608154	0.0007250738	0.0001432216	0.0002184688	6.084202e-05	0.001603548	0.0009451897	0.0001179877	0.0001728427	0.001396155	7.617006e-05	0.0004705022	0.0006169437	0.001330863	0.002401155	0.002503386	0.001252847	0.0005113062	0.0004719645	0.0004788743	0.001026118	0.0003377363	0.003674415	0.0002642109	0.00222241	9.148427e-05	0.000596181	0.0006362543	0.001984696	0.0003325818	0.0005156643	0.0001721851	0.0001133577	0.0002413819	5.838104e-05	0.0005230257	0.0004579316	0.0004065402	0.0002355398	0.0006030015	0.04463707	0.7982681	0.1766322	0.147217	0.261393	0.0886932	0.0618121	0.358837	0.0820485	0.0007687813	98.27243	0.270725	0.177229	0.272648	0.279398	0.2017319	0.0005789575	-7.824709	0.8607293	0.7408549
20	-14033.42	-14210.07	176.6562	95.16967	0.1422598	0.0002846309	0.0003220348	0.0001584118	0.0002200876	0.0002771457	0.0007000525	0.0002255516	0.000224586	0.0008447291	0.0005722329	0.0001110303	0.0006303992	0.0003412266	0.0002834784	0.001599137	0.00149369	0.001411928	0.0003875951	0.0007349717	0.001043846	0.0003262788	9.922543e-05	0.001433776	0.0003895079	0.0001971675	0.0001140775	0.0004317764	0.0003477421	0.001634179	0.0001468204	0.0008311887	0.0001598739	0.0002485198	0.0003423332	0.0002801205	0.0005181625	0.0003306094	0.000398562	0.0001399718	0.0001808113	0.09309231	0.3456175	0.04916746	0.146276	0.266846	0.0840626	0.0952915	0.33796	0.0695631	0.0005104368	95.16967	0.262761	0.179164	0.275625	0.282449	0.6543825	0.0005415606	-7.846409	0.8066645	0.6507076
30	-14060.48	-14219.23	158.7467	78.51163	0.2144894	9.17172e-05	0.0002550689	8.341381e-05	0.0002909592	0.0002893605	0.001430925	0.0001801702	0.0002148709	0.0002840128	0.0004480559	0.0001386559	0.0002492333	0.0004627911	0.000937258	0.001353024	0.001818477	0.001027399	0.0003972489	0.0002546525	0.001002279	0.009795126	0.0002105696	0.002064498	0.001494773	0.0002215695	4.583472e-05	0.00037983	0.0004518426	0.004529213	8.129247e-05	0.0007176332	0.0002926592	0.0002860899	0.0003354054	0.0002831216	0.0007984708	0.0002553748	0.0005568178	0.0005013419	0.0003382771	0.1534316	0.2846659	0.06105783	0.138412	0.284443	0.0727588	0.101575	0.340137	0.0626735	0.0008712329	78.51163	0.271764	0.179741	0.263498	0.284997	0.7153341	0.0007288386	-7.755062	1.030538	1.062008
40	-14057.4	-14213.18	155.7765	106.0043	0.3501643	0.0003951076	0.0007172253	0.0002174525	0.000277351	0.003442845	0.002074094	0.0006334415	0.0003363646	0.0001226969	0.0009001949	0.0003151916	0.001092526	0.001637993	0.0004987779	0.001504372	0.002238545	0.001115934	0.0008473375	0.0004359376	0.0008602636	0.0001674045	0.000199611	0.00365433	0.0004900529	0.0005829088	0.0002736331	0.00106359	0.0002816217	0.003623772	0.0001411436	0.0005372192	0.0001596817	0.0001060206	0.0007337907	0.0002617823	0.0006253096	0.0003712897	0.000340316	7.435132e-05	0.0007741952	0.1928438	0.4492762	0.1573205	0.155223	0.241611	0.0864259	0.0921176	0.343404	0.0812188	0.0008531419	106.0043	0.269512	0.172068	0.271597	0.286823	0.5507238	0.001071456	-7.441467	1.097935	1.205461
50	-14055.98	-14217.37	161.3921	87.05892	0.1774498	0.0004459453	0.0004960282	0.0002824925	0.0002617199	0.0005726419	0.0009778511	0.0007696103	0.0002100929	0.0005209106	0.0007386507	0.0001619898	0.0006620875	0.0006776393	0.000369995	0.001710723	0.00225443	0.0007751625	0.00072604	0.000971733	0.0006995841	0.0003617354	0.0004943972	0.003203241	0.0006082365	0.0006862042	0.0002404199	0.001904322	0.0007449847	0.004068873	0.001614626	0.001188595	0.0004149563	0.000182154	0.001199242	0.0006243663	0.0004768966	0.0002352731	0.0004785714	6.620061e-05	0.001459447	0.04244839	0.7607865	0.1350014	0.123497	0.273605	0.096272	0.0980008	0.328749	0.079876	0.0008634517	87.05892	0.266242	0.181827	0.262146	0.289785	0.2392135	0.0009886988	-7.313928	0.8886022	0.7896138
60	-14054.97	-14216.36	161.3894	101.3083	0.2114831	0.0004856004	0.000505136	0.000348111	0.0002799779	0.000606886	0.0004418919	0.00041272	0.0001441774	0.0003201496	0.0003415856	0.0001114506	0.0001477474	0.001104955	0.0005160582	0.001100229	0.002068756	0.0007635049	0.0006426659	0.0004030638	0.0009558259	0.001320399	0.0002593758	0.001421604	0.0005549927	0.0007601362	0.0005054404	0.0001640479	0.0001865517	0.004536789	7.683459e-05	0.001690155	0.0003100018	0.0002938724	0.00140403	0.0003175868	0.0003833902	0.0001617978	0.0008588531	0.0001229703	0.0003109667	0.1261797	0.4033578	0.08530337	0.136148	0.264447	0.0678709	0.081048	0.362427	0.0880587	0.0006835072	101.3083	0.276418	0.181238	0.264353	0.277991	0.5966422	0.001250162	-7.298905	1.108533	1.228846
70	-14048.93	-14212.73	163.8019	97.51081	0.2000339	0.0005227367	0.000603113	0.0001604919	0.0003250075	0.00165868	0.001548779	0.0004441569	0.0003135469	0.0007653465	0.0009428698	0.001072953	0.0004399508	0.0009775058	0.0002083218	0.001758339	0.003792351	0.0004742686	0.000586557	0.0003256608	0.000862309	0.000798116	0.0002709619	0.001146248	0.000354755	0.00080128	0.0004237026	0.001254945	0.0002567892	0.004168299	0.0003372132	0.0008083579	0.000839536	0.0001534417	8.314874e-05	0.0003666974	0.0005655982	0.0001619715	0.001259966	0.0002753176	8.495522e-05	0.05915923	0.704254	0.1408747	0.156037	0.258195	0.0797292	0.0536063	0.364059	0.0883736	0.0008048561	97.51081	0.267091	0.174447	0.27348	0.284982	0.295746	0.0006643723	-7.606783	0.7617282	0.5802298
80	-14040.56	-14210.21	169.6513	90.57254	0.1576607	0.000698497	0.0003252566	0.0001422769	0.0002719017	0.0005354639	0.000846632	0.0001752912	0.0002222216	0.001413196	0.0005191893	0.0007350352	0.0002849875	0.0002097796	0.0005558702	0.001183301	0.003372396	0.0005663817	0.0004149815	0.0003961883	0.001048516	0.0006598094	0.000252693	0.0002566078	0.0004355942	0.0004977358	0.0002204643	0.003273396	0.0003342175	0.002651634	0.0003277026	0.0009249172	0.0002748976	0.0005666054	0.0004003791	0.0002590242	0.0004588034	0.0002602579	0.0002886037	0.000228025	0.001280021	0.1099294	0.3027466	0.04773122	0.116061	0.284549	0.0528258	0.0775043	0.373813	0.0952472	0.0006942188	90.57254	0.273982	0.175251	0.269712	0.281055	0.6972534	0.000834427	-7.3737	0.7548973	0.5698699
90	-14060.77	-14220.69	159.9177	68.94972	0.1686291	0.002136068	0.0001082326	0.0003092708	0.0003204697	0.001943731	0.001766223	0.0003455829	0.001482871	0.0007234884	0.0005216928	0.0007216774	0.0004272951	0.000311031	0.0005890552	0.001204652	0.00253602	0.0007139534	0.0004853208	0.0004121301	0.001010219	0.001400029	0.0002890367	0.0002230514	0.0006914468	0.0007107493	0.0002576147	0.001633433	0.0006080236	0.003217558	0.0002932452	0.0002930255	0.0005695692	0.0003714263	0.0004580838	0.00010171	0.0008622775	0.0003222113	0.0001588377	9.657163e-05	0.0009693464	0.0550645	0.6734579	0.1135646	0.134034	0.243094	0.0864334	0.0747329	0.351275	0.110431	0.0007899058	68.94972	0.263199	0.184059	0.269538	0.283205	0.3265421	0.0007479109	-7.636155	0.9358716	0.8758557
