state	power	likelihood
260	1	-14227
270	1	-14219.7
280	1	-14220.2
290	1	-14222.8
300	1	-14215
310	1	-14217.5
320	1	-14204.8
330	1	-14204.4
340	1	-14214.2
350	1	-14218.1
360	1	-14212.8
370	1	-14210.9
380	1	-14215
390	1	-14214.4
400	1	-14211.3
410	1	-14208.9
420	1	-14216.4
430	1	-14212.7
440	1	-14216.6
450	1	-14209.7
460	1	-14214.8
470	1	-14213.8
480	1	-14214.2
490	1	-14219.7
500	1	-14219.4
510	1	-14213
520	1	-14209.9
530	1	-14211
540	1	-14208.4
550	1	-14218.4
560	1	-14213
570	1	-14216.2
580	1	-14217.9
590	1	-14218.7
600	1	-14211
610	1	-14212.7
620	1	-14212.9
630	1	-14216.5
640	1	-14218.6
650	1	-14217.8
660	1	-14217.9
670	1	-14212.2
680	1	-14216.4
690	1	-14211.5
700	1	-14210
710	1	-14214.4
720	1	-14207.9
730	1	-14213.5
740	1	-14212.2
750	1	-14214.2
760	1	-14215.6
770	1	-14214.8
780	1	-14211.7
790	1	-14212.1
800	1	-14208.8
810	1	-14206.6
820	1	-14205.2
830	1	-14209.4
840	1	-14206.9
850	1	-14208.1
860	1	-14212.9
870	1	-14208
880	1	-14214
890	1	-14211.1
900	1	-14211.2
910	1	-14211.4
920	1	-14211.8
930	1	-14213
940	1	-14208.9
950	1	-14204
960	1	-14207.4
970	1	-14220.2
980	1	-14218.2
990	1	-14211.3
1000	1	-14213.3
260	0.90204	-14220.2
270	0.90204	-14221.3
280	0.90204	-14215.1
290	0.90204	-14218
300	0.90204	-14219.4
310	0.90204	-14222.5
320	0.90204	-14223.1
330	0.90204	-14219.6
340	0.90204	-14217.1
350	0.90204	-14217
360	0.90204	-14220.3
370	0.90204	-14224.7
380	0.90204	-14216.4
390	0.90204	-14213.8
400	0.90204	-14215.9
410	0.90204	-14219.7
420	0.90204	-14222.1
430	0.90204	-14217.6
440	0.90204	-14215.3
450	0.90204	-14215.6
460	0.90204	-14218.7
470	0.90204	-14228.1
480	0.90204	-14218.2
490	0.90204	-14222.7
500	0.90204	-14219.7
510	0.90204	-14227
520	0.90204	-14228.2
530	0.90204	-14215.7
540	0.90204	-14219.9
550	0.90204	-14216.1
560	0.90204	-14221.6
570	0.90204	-14212.1
580	0.90204	-14212.7
590	0.90204	-14226.1
600	0.90204	-14211.8
610	0.90204	-14223.4
620	0.90204	-14221.7
630	0.90204	-14218.4
640	0.90204	-14220.5
650	0.90204	-14217.4
660	0.90204	-14220.3
670	0.90204	-14229.7
680	0.90204	-14216.9
690	0.90204	-14213.2
700	0.90204	-14224.8
710	0.90204	-14218.2
720	0.90204	-14218.5
730	0.90204	-14220
740	0.90204	-14212.9
750	0.90204	-14221.6
