Iteration	Posterior	Likelihood	Prior	age_mada	age_uapaca	alpha_mol[1]	alpha_mol[2]	birth	death	diversification	kappa_mol[1]	kappa_mol[2]	ln_mean	mu_mol[1][1]	mu_mol[1][2]	mu_mol[1][3]	mu_mol[1][4]	mu_mol[1][5]	mu_mol[1][6]	mu_mol[1][7]	mu_mol[1][8]	mu_mol[1][9]	mu_mol[1][10]	mu_mol[1][11]	mu_mol[1][12]	mu_mol[1][13]	mu_mol[1][14]	mu_mol[1][15]	mu_mol[1][16]	mu_mol[1][17]	mu_mol[1][18]	mu_mol[1][19]	mu_mol[1][20]	mu_mol[1][21]	mu_mol[1][22]	mu_mol[1][23]	mu_mol[1][24]	mu_mol[1][25]	mu_mol[1][26]	mu_mol[1][27]	mu_mol[1][28]	mu_mol[1][29]	mu_mol[1][30]	mu_mol[1][31]	mu_mol[1][32]	mu_mol[1][33]	mu_mol[1][34]	mu_mol[1][35]	mu_mol[1][36]	mu_mol[1][37]	mu_mol[1][38]	mu_mol[1][39]	mu_mol[1][40]	mu_mol[2][1]	mu_mol[2][2]	mu_mol[2][3]	mu_mol[2][4]	mu_mol[2][5]	mu_mol[2][6]	mu_mol[2][7]	mu_mol[2][8]	mu_mol[2][9]	mu_mol[2][10]	mu_mol[2][11]	mu_mol[2][12]	mu_mol[2][13]	mu_mol[2][14]	mu_mol[2][15]	mu_mol[2][16]	mu_mol[2][17]	mu_mol[2][18]	mu_mol[2][19]	mu_mol[2][20]	mu_mol[2][21]	mu_mol[2][22]	mu_mol[2][23]	mu_mol[2][24]	mu_mol[2][25]	mu_mol[2][26]	mu_mol[2][27]	mu_mol[2][28]	mu_mol[2][29]	mu_mol[2][30]	mu_mol[2][31]	mu_mol[2][32]	mu_mol[2][33]	mu_mol[2][34]	mu_mol[2][35]	mu_mol[2][36]	mu_mol[2][37]	mu_mol[2][38]	mu_mol[2][39]	mu_mol[2][40]	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_locus_rel[2]	mu_mol_sd	pi_mol[1][1]	pi_mol[1][2]	pi_mol[1][3]	pi_mol[1][4]	pi_mol[2][1]	pi_mol[2][2]	pi_mol[2][3]	pi_mol[2][4]	root_age	site_rates_mol[1][1]	site_rates_mol[1][2]	site_rates_mol[1][3]	site_rates_mol[1][4]	site_rates_mol[2][1]	site_rates_mol[2][2]	site_rates_mol[2][3]	site_rates_mol[2][4]	turnover
0	-3980.128	-3955.508	-24.61913	0.25	0.95	4.9255	25.43943	0.002408565	0.0004874719	0.001921093	1.717637	0.1800543	-3.987688	0.0157551	0.0218603	0.0185418	0.0221518	0.0198062	0.029075	0.0231792	0.0152388	0.0199411	0.0186181	0.0185125	0.0242439	0.0218395	0.0332778	0.0374011	0.0143134	0.0106363	0.0198697	0.0165506	0.0496919	0.00606284	0.023584	0.0131513	0.0121346	0.0221745	0.0165788	0.010275	0.0241512	0.0220915	0.0134692	0.0328504	0.0230491	0.0320867	0.0234471	0.0108778	0.0472106	0.009478	0.0340084	0.0215125	0.0153809	0.00306962	0.00425913	0.00361257	0.00431591	0.00385891	0.00566479	0.00451609	0.00296903	0.00388519	0.00362743	0.00360685	0.00472353	0.00425507	0.00648364	0.007287	0.00278872	0.00207232	0.00387129	0.00322461	0.00968165	0.00118125	0.00459496	0.00256231	0.00236422	0.00432034	0.0032301	0.00200191	0.00470546	0.00430417	0.00262425	0.00640036	0.00449074	0.00625158	0.00456828	0.00211936	0.0091982	0.00184663	0.00662598	0.00419135	0.00299671	0.02048417	0.01575509	0.02186033	0.0185418	0.02215179	0.01980618	0.02907502	0.02317923	0.0152388	0.01994108	0.0186181	0.01851249	0.02424395	0.02183949	0.03327784	0.03740113	0.01431336	0.01063634	0.01986974	0.0165506	0.04969189	0.006062842	0.02358401	0.01315128	0.01213455	0.02217452	0.01657878	0.01027499	0.02415116	0.02209153	0.01346917	0.03285041	0.0230491	0.03208675	0.02344707	0.01087781	0.04721057	0.009478003	0.03400841	0.02151248	0.01538085	0.1948336	0.4462851	0.278295	0.228122	0.303796	0.189787	0.350486	0.172877	0.306052	0.170584	1	0.498954	0.802153	1.08343	1.61546	0.760437	0.924903	1.05269	1.26197	0.202391
20	-3126.896	-3345.5	218.6035	34.03942	34.03942	1.296922	2.527619	0.04882914	0.01211446	0.03671467	2.015784	2.365841	-8.846265	0.000236223	9.28153e-05	0.000115471	0.000217776	0.000143218	0.000120164	5.82546e-05	0.000161867	0.000135174	9.84245e-05	0.00016224	9.72241e-05	0.000149782	0.000162293	0.000129761	0.000348986	0.000273307	0.0001207	0.000195888	0.000180881	0.000178495	0.000149277	0.000126068	8.67609e-05	0.000130612	0.000171434	9.36446e-05	0.000167977	0.000256101	0.000251898	0.00016097	7.72898e-05	0.000138059	6.52807e-05	0.000209978	0.00013452	9.30991e-05	0.000119145	0.000114084	0.000162089	0.000577993	0.000227102	0.000282536	0.000532858	0.000350427	0.00029402	0.000142538	0.000396059	0.000330747	0.000240826	0.00039697	0.000237889	0.000366489	0.0003971	0.000317502	0.000853904	0.000668731	0.000295331	0.000479302	0.000442582	0.000436744	0.000365252	0.000308464	0.000212288	0.000319582	0.000419467	0.000229131	0.000411008	0.000626632	0.000616348	0.000393862	0.000189114	0.000337804	0.00015973	0.000513778	0.000329145	0.000227796	0.000291527	0.000279143	0.000396602	0.0001521837	0.0002362226	9.28153e-05	0.0001154708	0.0002177763	0.0001432177	0.0001201644	5.825458e-05	0.0001618674	0.0001351744	9.842452e-05	0.0001622397	9.722409e-05	0.0001497821	0.0001622926	0.0001297613	0.0003489861	0.0002733067	0.0001207001	0.0001958882	0.0001808809	0.0001784949	0.0001492767	0.0001260678	8.676092e-05	0.0001306115	0.0001714339	9.364462e-05	0.0001679768	0.0002561013	0.0002518983	0.0001609695	7.728978e-05	0.0001380588	6.528072e-05	0.0002099784	0.00013452	9.309907e-05	0.0001191454	0.0001140843	0.0001620893	2.446814	0.3341946	0.263474	0.192766	0.261342	0.282418	0.283351	0.138776	0.314772	0.263101	34.03942	0.19218	0.55085	1.03588	2.22109	0.34906	0.701492	1.07893	1.87051	0.2480991
40	-3136.027	-3344.607	208.5808	32.51264	32.51264	0.02342542	0.02809631	0.1028414	0.03791237	0.06492899	1.248145	2.081965	-8.715439	0.000125546	0.000104832	7.07827e-05	0.000117546	0.000159261	0.000373096	5.28989e-05	0.000295646	0.000136968	0.000146483	0.000562523	0.000156128	0.0002587	0.000170953	0.000138627	0.000269529	9.02397e-05	0.000170156	0.00016491	0.000157533	0.000139898	0.000177834	0.000194307	0.000115071	0.000189687	0.000164496	0.000158646	0.000149699	0.000139678	0.000273475	0.000102146	8.20501e-05	0.000358737	0.000332136	0.000107043	0.000238171	0.000102098	5.19456e-05	0.000228794	0.000147159	0.000351174	0.000293233	0.000197992	0.000328798	0.000445482	0.00104362	0.000147968	0.000826975	0.000383123	0.000409739	0.00157348	0.000436717	0.000723632	0.000478187	0.000387766	0.000753921	0.000252417	0.000475957	0.000461284	0.000440649	0.000391319	0.000497433	0.000543511	0.000321873	0.000530589	0.000460126	0.000443763	0.000418735	0.000390704	0.00076496	0.00028572	0.000229509	0.00100345	0.000929044	0.000299419	0.000666209	0.000285587	0.000145301	0.000639977	0.000411631	0.0001911015	0.0001255457	0.0001048316	7.078267e-05	0.0001175463	0.0001592611	0.0003730965	5.289889e-05	0.0002956459	0.0001369677	0.0001464829	0.0005625233	0.0001561276	0.0002587004	0.0001709531	0.0001386274	0.0002695288	9.023974e-05	0.0001701561	0.0001649102	0.0001575334	0.0001398977	0.0001778337	0.0001943067	0.0001150706	0.0001896869	0.0001644961	0.0001586464	0.0001496991	0.0001396777	0.0002734753	0.0001021458	8.205014e-05	0.0003587374	0.0003321357	0.0001070432	0.0002381714	0.0001020982	5.194557e-05	0.0002287937	0.0001471593	2.797181	0.5526903	0.237785	0.18038	0.298002	0.283832	0.271829	0.143007	0.31404	0.271123	32.51264	1.11274e-26	1.57759e-13	7.78374e-06	3.99999	2.0833e-22	2.15774e-11	5.99114e-05	3.99994	0.368649
60	-3137.652	-3348.005	210.3533	31.9918	31.9918	0.2497391	0.06977423	0.08083404	0.01386843	0.06696562	1.937102	2.783952	-9.252858	0.00011934	8.09282e-05	0.000257223	0.000125162	0.000178333	4.10598e-05	0.000137814	3.69759e-05	6.49631e-05	6.03648e-05	5.27991e-05	7.57181e-05	6.12768e-05	0.000289534	0.000122126	0.000307575	5.32408e-05	4.90177e-05	6.12462e-05	0.000558076	5.97807e-05	2.93057e-05	0.000104455	4.68114e-05	5.84146e-05	0.000173472	3.34022e-05	0.000416586	5.37488e-05	8.44282e-05	0.000217444	8.15472e-05	0.000192128	6.78186e-05	5.64469e-05	5.68377e-05	3.99863e-05	4.21271e-05	0.000343518	0.000201803	0.000511644	0.000346962	0.00110279	0.000536606	0.000764563	0.000176034	0.000590848	0.000158526	0.000278515	0.000258801	0.000226364	0.000324624	0.00026271	0.00124131	0.000523587	0.00131866	0.000228258	0.000210152	0.000262579	0.00239263	0.000256296	0.000125642	0.000447827	0.000200693	0.000250439	0.000743722	0.000143204	0.00178602	0.000230436	0.000361967	0.000932242	0.000349615	0.000823704	0.000290757	0.000242003	0.000243679	0.000171432	0.000180611	0.00147276	0.000865187	0.0001395246	0.0001193401	8.092824e-05	0.0002572233	0.0001251624	0.0001783331	4.105975e-05	0.0001378144	3.697593e-05	6.496308e-05	6.036484e-05	5.27991e-05	7.571806e-05	6.127677e-05	0.0002895345	0.0001221258	0.0003075748	5.324081e-05	4.901771e-05	6.124619e-05	0.000558076	5.978066e-05	2.930571e-05	0.0001044549	4.681139e-05	5.841457e-05	0.0001734718	3.340221e-05	0.0004165858	5.37488e-05	8.442819e-05	0.0002174438	8.154724e-05	0.0001921277	6.781861e-05	5.644689e-05	5.683769e-05	3.998626e-05	4.212714e-05	0.0003435179	0.0002018035	4.287276	0.8667044	0.257651	0.175679	0.290235	0.276435	0.291549	0.123607	0.304498	0.280346	31.9918	0.00209962	0.0665016	0.500935	3.43046	1.30452e-09	5.38049e-05	0.0270278	3.97292	0.1715666
80	-3173.472	-3342.867	169.3948	12.50514	12.50514	0.1719003	0.0334079	0.195624	0.04205589	0.1535681	2.096755	2.132072	-7.609947	0.000213356	0.000563354	0.000707317	0.000714198	0.000675353	0.000270749	0.000177159	0.00115495	0.000428402	0.000458325	0.000393857	0.000230207	0.000846099	0.00086058	0.000698495	0.000799852	0.000888731	0.000206025	0.000709753	0.00107425	0.000303702	0.000380416	0.00105615	0.000175813	0.000749329	0.000421564	0.000985101	0.000447513	0.000239076	0.000150261	0.00102886	0.000669254	0.000141807	0.000183984	0.00076264	0.000325287	0.000539078	0.00196923	0.00033699	0.000335495	0.000657094	0.00173502	0.0021784	0.00219959	0.00207995	0.000833852	0.000545614	0.00355701	0.00131939	0.00141155	0.001213	0.000708992	0.00260582	0.00265042	0.00215123	0.00246339	0.00273711	0.000634518	0.0021859	0.00330848	0.000935341	0.00117161	0.00325272	0.000541468	0.00230779	0.00129833	0.00303392	0.00137825	0.000736305	0.000462775	0.00316867	0.00206117	0.000436739	0.000566635	0.00234878	0.00100182	0.00166025	0.00606482	0.00103786	0.00103326	0.000650038	0.0002133559	0.0005633539	0.0007073173	0.0007141984	0.0006753529	0.0002707487	0.0001771587	0.001154949	0.0004284019	0.0004583252	0.0003938572	0.000230207	0.0008460989	0.0008605798	0.0006984948	0.0007998518	0.0008887307	0.0002060254	0.0007097526	0.001074252	0.0003037017	0.0003804159	0.001056146	0.0001758127	0.000749329	0.0004215643	0.0009851014	0.0004475132	0.0002390755	0.0001502612	0.001028856	0.0006692537	0.0001418074	0.0001839843	0.0007626395	0.0003252874	0.0005390776	0.001969225	0.0003369899	0.0003354953	3.079802	0.7368412	0.237816	0.191268	0.308775	0.26214	0.279355	0.12656	0.311773	0.282312	12.50514	0.000171742	0.019297	0.306489	3.67404	5.31255e-19	1.08912e-09	0.000304885	3.9997	0.2149833
100	-3119.836	-3346.69	226.8538	19.42454	19.42454	3.351397	0.02013888	0.1948721	0.06529736	0.1295748	1.575939	2.610103	-8.78052	0.00011914	7.025e-05	0.000148874	7.84564e-05	0.000150333	9.81516e-05	0.000155208	0.000200849	0.000176386	0.000381034	8.16578e-05	0.000158759	5.52408e-05	0.000183482	0.000169146	0.000125238	0.000108428	0.000203499	0.000180259	0.000156405	0.000118598	0.000186633	0.000160244	4.71064e-05	0.000178848	0.00025157	0.000231028	0.000150442	0.00029556	0.000124274	0.00012644	8.63925e-05	0.00017136	0.000105132	0.000255069	0.000127527	0.000236931	0.000149648	0.000198086	0.000118964	0.000646332	0.000381106	0.000807642	0.000425626	0.000815555	0.000532472	0.000842005	0.0010896	0.000956893	0.00206711	0.000442993	0.000861266	0.000299681	0.00099539	0.000917619	0.000679416	0.000588221	0.00110398	0.000977904	0.000848498	0.000643394	0.00101248	0.000869323	0.000255552	0.00097025	0.00136477	0.00125333	0.000816148	0.00160341	0.000674184	0.000685939	0.000468679	0.00092963	0.000570341	0.00138375	0.000691834	0.00128535	0.000811839	0.00107462	0.000645379	0.0001665066	0.0001191395	7.024999e-05	0.0001488742	7.845638e-05	0.0001503328	9.815164e-05	0.0001552084	0.0002008485	0.0001763859	0.0003810341	8.165776e-05	0.0001587588	5.524079e-05	0.0001834821	0.0001691465	0.0001252381	0.0001084279	0.0002034988	0.0001802588	0.0001564053	0.0001185981	0.0001866329	0.0001602441	4.710644e-05	0.0001788479	0.0002515702	0.0002310279	0.0001504421	0.0002955598	0.0001242737	0.0001264405	8.63925e-05	0.0001713604	0.000105132	0.0002550685	0.0001275271	0.0002369311	0.0001496478	0.0001980861	0.000118964	5.424997	0.4001103	0.254308	0.18401	0.292451	0.269232	0.292941	0.123821	0.326936	0.256302	19.42454	0.414743	0.749298	1.08378	1.75218	7.11827e-31	1.26214e-15	1.04965e-06	4	0.335078
120	-3152.83	-3345.881	193.0507	3.869783	3.869783	4.191876	0.00976757	0.6182397	0.1930307	0.425209	3.069793	2.665853	-6.540913	0.00119745	0.00170941	0.000949188	0.00168049	0.000638189	0.00147733	0.00138554	0.00107422	0.00132137	0.00157061	0.00188764	0.00168817	0.00105523	0.00133503	0.00204897	0.00176094	0.0011152	0.00179807	0.00154476	0.00124017	0.00131621	0.00143591	0.00113855	0.0013153	0.0010713	0.00158891	0.00149955	0.0016811	0.00109648	0.00129887	0.00123278	0.00120403	0.00123853	0.00141915	0.0016687	0.00186113	0.00155519	0.00134621	0.00085137	0.00131847	0.00288946	0.00412483	0.0022904	0.00405503	0.00153995	0.00356481	0.00334333	0.00259209	0.00318847	0.0037899	0.00455488	0.00407357	0.00254629	0.00322144	0.00494418	0.00424916	0.00269099	0.00433876	0.00372751	0.00299254	0.00317603	0.00346487	0.00274732	0.00317383	0.00258505	0.00383404	0.00361842	0.00405649	0.00264581	0.00313419	0.0029747	0.00290534	0.00298859	0.00342443	0.00402658	0.00449092	0.00375268	0.00324842	0.00205436	0.00318147	0.0014817	0.001197453	0.001709414	0.000949188	0.001680489	0.0006381895	0.00147733	0.001385545	0.001074218	0.00132137	0.001570613	0.001887638	0.001688172	0.001055234	0.00133503	0.002048971	0.001760941	0.001115202	0.001798073	0.001544759	0.001240172	0.001316211	0.001435914	0.001138545	0.0013153	0.001071299	0.001588908	0.001499548	0.001681095	0.00109648	0.001298873	0.001232777	0.001204034	0.001238533	0.001419155	0.001668699	0.001861131	0.00155519	0.001346212	0.0008513697	0.001318466	2.413006	0.2295533	0.254931	0.184461	0.293168	0.267441	0.276213	0.152972	0.303907	0.266908	3.869783	0.464602	0.781593	1.08433	1.66948	1.28797e-62	1.69929e-31	2.71964e-13	4	0.3122263
140	-3129.814	-3343.032	213.2182	4.395635	4.395635	6.668819	0.04655977	0.8779137	0.4862113	0.3917024	1.528791	2.751812	-6.828452	0.000902655	0.00105988	0.00104527	0.00127721	0.000991195	0.00141311	0.00107719	0.00124001	0.00108483	0.000871189	0.000986035	0.00127992	0.00115235	0.000996585	0.00130848	0.00119425	0.00115105	0.00115374	0.00109392	0.00129502	0.00155319	0.00113734	0.00123067	0.000836197	0.00140047	0.000935579	0.00141894	0.00106293	0.00104571	0.00129527	0.00082216	0.000967261	0.000960353	0.000946838	0.000767346	0.00138588	0.000736304	0.000996852	0.00134348	0.00116087	0.00390267	0.00458246	0.00451925	0.00552209	0.00428548	0.00610964	0.00465728	0.00536126	0.00469029	0.00376663	0.00426317	0.00553379	0.00498225	0.00430878	0.00565726	0.0051634	0.00497664	0.00498823	0.00472963	0.0055991	0.00671528	0.00491733	0.00532084	0.00361534	0.00605498	0.00404502	0.00613484	0.00459564	0.00452119	0.00560017	0.00355465	0.004182	0.00415213	0.0040937	0.00331766	0.00599191	0.00318344	0.00430994	0.00580859	0.00501907	0.00110182	0.0009026554	0.001059884	0.001045265	0.001277213	0.0009911954	0.00141311	0.001077189	0.001240015	0.001084825	0.0008711894	0.0009860348	0.001279919	0.001152354	0.0009965852	0.001308476	0.001194251	0.001151054	0.001153735	0.001093924	0.001295025	0.001553188	0.001137336	0.001230665	0.0008361969	0.001400465	0.0009355791	0.001418936	0.001062933	0.001045713	0.001295272	0.0008221602	0.0009672609	0.0009603532	0.0009468385	0.0007673464	0.00138588	0.0007363036	0.0009968524	0.001343478	0.001160869	4.323546	0.1879371	0.266579	0.173939	0.257507	0.301975	0.299719	0.154492	0.274717	0.271072	4.395635	0.559429	0.835438	1.07973	1.52541	6.52999e-14	3.81413e-07	0.00346532	3.99653	0.5538259
160	-3091.636	-3345.768	254.1316	12.54225	12.54225	3.621297	0.05337392	0.2988126	0.1393872	0.1594254	1.743731	2.560654	-7.415913	0.000576331	0.000590802	0.000547128	0.000599539	0.000580461	0.000680289	0.000663624	0.000667147	0.000611804	0.000539794	0.000587673	0.000605028	0.000571603	0.000627392	0.000595487	0.000556839	0.000577248	0.000605508	0.000571309	0.000613778	0.000573785	0.00057171	0.000608049	0.000609388	0.00072423	0.000608779	0.00070355	0.000541613	0.000664848	0.000572378	0.000568169	0.000709544	0.000566642	0.000594512	0.000570009	0.000609885	0.000585635	0.000600375	0.000586865	0.000593794	0.00118335	0.00121306	0.00112339	0.001231	0.00119183	0.0013968	0.00136258	0.00136981	0.00125618	0.00110833	0.00120663	0.00124227	0.00117364	0.00128819	0.00122268	0.00114333	0.00118523	0.00124326	0.00117304	0.00126023	0.00117812	0.00117386	0.00124847	0.00125122	0.00148702	0.00124997	0.00144456	0.00111206	0.00136509	0.00117523	0.00116659	0.00145687	0.00116345	0.00122068	0.00117037	0.00125224	0.00120245	0.00123271	0.00120498	0.0012192	0.0006028423	0.0005763307	0.0005908015	0.0005471281	0.0005995392	0.0005804611	0.000680289	0.0006636243	0.0006671473	0.0006118038	0.0005397938	0.0005876727	0.000605028	0.0005716032	0.0006273922	0.0005954865	0.0005568391	0.0005772484	0.0006055084	0.0005713093	0.0006137777	0.0005737854	0.0005717104	0.0006080488	0.000609388	0.0007242303	0.0006087788	0.0007035497	0.0005416127	0.0006648481	0.000572378	0.0005681694	0.000709544	0.0005666415	0.0005945124	0.0005700092	0.0006098847	0.0005856345	0.0006003746	0.0005868652	0.0005937937	2.053242	0.06415504	0.244072	0.203539	0.272053	0.280337	0.30319	0.14061	0.306296	0.249904	12.54225	0.432266	0.761003	1.08424	1.72249	2.91931e-12	2.54877e-06	0.00762157	3.99238	0.4664703
180	-3096.566	-3344.522	247.9562	6.275721	7.108437	15.84524	0.02060821	0.4532131	0.1325876	0.3206255	4.176662	2.992958	-6.975001	0.00104787	0.00089403	0.000935682	0.000862414	0.000873717	0.000982845	0.000992804	0.000912403	0.000870983	0.000950633	0.000930359	0.000915328	0.000895457	0.00100761	0.000878282	0.000895362	0.000984973	0.000917103	0.000971361	0.000813383	0.000929624	0.000957356	0.000905907	0.000909259	0.000946558	0.000948672	0.000902176	0.000863697	0.00095768	0.00105178	0.000813947	0.000912949	0.000960975	0.000867244	0.000965865	0.000920828	0.00100123	0.000962722	0.000818687	0.000892905	0.00309073	0.00263696	0.00275982	0.00254371	0.00257705	0.00289893	0.0029283	0.00269116	0.00256899	0.00280392	0.00274412	0.00269978	0.00264117	0.00297197	0.00259051	0.00264089	0.0029052	0.00270502	0.00286505	0.00239909	0.00274195	0.00282374	0.002672	0.00268188	0.0027919	0.00279813	0.00266099	0.0025475	0.0028247	0.00310225	0.00240076	0.00269276	0.00283442	0.00255796	0.00284884	0.002716	0.00295315	0.00283957	0.00241474	0.00263365	0.0009370154	0.001047874	0.0008940303	0.0009356821	0.0008624138	0.0008737175	0.0009828455	0.0009928038	0.0009124031	0.0008709827	0.0009506335	0.0009303587	0.0009153277	0.0008954567	0.001007611	0.0008782819	0.0008953618	0.0009849733	0.0009171034	0.0009713609	0.0008133828	0.000929624	0.0009573557	0.0009059073	0.000909259	0.0009465585	0.0009486724	0.0009021759	0.0008636971	0.00095768	0.001051781	0.0008139473	0.0009129487	0.000960975	0.0008672435	0.0009658648	0.000920828	0.001001231	0.0009627216	0.0008186874	0.0008929052	2.949525	0.06618449	0.221324	0.195994	0.264931	0.31775	0.29908	0.116599	0.294085	0.290236	7.108437	0.701171	0.901451	1.06263	1.33475	3.41335e-30	2.76372e-15	1.45311e-06	4	0.2925502
